Date,rolling_return,rolling_volatility,vix_level,regime
2024-09-13,0.0008389546582131368,0.00879107064162271,-0.0298769910954639,normal
2024-09-16,0.0008006896064878968,0.008786306013325173,0.0350241511117734,normal
2024-09-17,0.00034306612426144185,0.008540922758978631,0.0274213090688311,normal
2024-09-18,0.00027607980490152687,0.008562406568477137,0.0352072067232249,normal
2024-09-19,0.0009574654439799419,0.009334562679859285,-0.1042237886034085,normal
2024-09-20,0.001263451474609377,0.0091287493745491,-0.0110226764247853,bull
2024-09-23,0.0008571381825395619,0.008867230420192263,-0.0160990267089047,normal
2024-09-24,0.001119377345311007,0.00884386623343182,-0.031466330345934,bull
2024-09-25,0.0009404497720582319,0.00887460970134116,0.0012995129072905,normal
2024-09-26,0.001428966305676677,0.008751780900605391,-0.0025957146170734,bull
2024-09-27,0.001351955453011725,0.008770941095603559,0.103448224512185,normal
2024-09-30,0.001075023021909865,0.008584054447545304,-0.0135612944959943,bull
2024-10-01,0.0016560511997002752,0.007345086556086203,0.1512253888745367,normal
2024-10-02,0.0017794936701882352,0.007300187981126677,-0.0186916202530317,bull
2024-10-03,0.0018096922576330949,0.007283078425179614,0.0841269938984015,normal
2024-10-04,0.0031055636285941,0.005981351981909818,-0.0624695315248242,bull
2024-10-07,0.002093741915892135,0.00624645529569937,0.1785528614599589,normal
2024-10-08,0.002348829401311005,0.006444721454894684,-0.0538868969189243,bull
2024-10-09,0.00218220537054954,0.006270165562828534,-0.0261437658238924,bull
2024-10-10,0.0016735272836356952,0.006148696109612512,0.0033556899700897,normal
2024-10-11,0.00171180378950761,0.006174282843192205,-0.0224558630602073,bull
2024-10-14,0.002046886803712075,0.006340472715549521,-0.037145569674535,bull
2024-10-15,0.001637960349274805,0.006704934697644497,0.0477156644824783,normal
2024-10-16,0.0020035772361698,0.006639730944889197,-0.0513565647910828,bull
2024-10-17,0.001154658694482186,0.0056198811252488904,-0.0240040508266524,bull
2024-10-18,0.0014334144572893458,0.005607591786964163,-0.0565149078603919,bull
2024-10-21,0.0012263520332821158,0.005642521828921132,0.0188574675340817,normal
2024-10-22,0.001056736403558326,0.005641780924193852,-0.0092542225654596,bull
2024-10-23,0.000710143099604906,0.006050830723091186,0.0571428002517699,normal
2024-10-24,0.000620036666095776,0.006013114381438398,-0.0083160004841733,normal
2024-10-25,0.000675302201178136,0.0059981438491244175,0.0655136270963465,normal
2024-10-28,0.0006295012319443461,0.005974813721844005,-0.0260698813888086,normal
2024-10-29,0.0011583317993944559,0.005533274242786082,-0.0232322778887614,bull
2024-10-30,0.000985982254219051,0.005610560810704195,0.0522233826738975,normal
2024-10-31,9.723270085264593e-05,0.007248526784968903,0.1380835092514842,normal
2024-11-01,-0.00014610826204370406,0.007008556932671722,-0.0552677329481301,normal
2024-11-04,0.00019820844179853603,0.006711461597157174,0.0045704015221827,normal
2024-11-05,0.00032991687508093103,0.006925180526573605,-0.0677888899977003,normal
2024-11-06,0.001226883934954561,0.008746743015092737,-0.2059540927522519,bull
2024-11-07,0.001700995502982591,0.008833434046600605,-0.0657652500549227,bull
2024-11-08,0.001618169199526031,0.008798817202668747,-0.0171052784305532,bull
2024-11-11,0.001256893129574541,0.008662561104133992,0.0020080781451226,normal
2024-11-12,0.001490057330913506,0.008467373226821557,-0.0173680844518407,bull
2024-11-13,0.001297020938628421,0.008442797807917159,-0.0469068374299079,bull
2024-11-14,0.000971230911259155,0.008615937191557557,0.020684732695029,normal
2024-11-15,0.00013847150319004994,0.009113907892198599,0.1278825238553527,normal
2024-11-18,0.00042544022566438,0.00914519282796013,-0.0346963746666274,normal
2024-11-19,0.000634774333124845,0.009170025803521364,0.0494223659521371,normal
2024-11-20,0.001108585503621725,0.008878720514018768,0.0495412505837244,normal
2024-11-21,0.001268871611215755,0.008927552216530082,-0.0168997092515968,bull
2024-11-22,0.00144110407335592,0.008928002545141945,-0.0966212796103989,bull
2024-11-25,0.0014561353223804551,0.008931179587101101,-0.04199471123755,bull
2024-11-26,0.0016363056587008948,0.008970878432098723,-0.0342465744476691,bull
2024-11-27,0.0016360484167194298,0.008971019204262623,0.0,normal
2024-11-29,0.0029268098105029996,0.007489025102169269,-0.0418439813209702,bull
2024-12-02,0.002805410541741095,0.007486629906891064,-0.0125832770846677,bull
2024-12-03,0.00293629529482369,0.007417930272220888,-0.0029984978557341,bull
2024-12-04,0.002642184561316555,0.007147502409814988,0.0112781666450476,normal
2024-12-05,0.0013166147607735898,0.004920461831719996,0.0066914612538429,normal
2024-12-06,0.0010248039702533598,0.004687517985543767,-0.0568685012007914,bull
2024-12-09,0.0005507304138604148,0.004813237043052239,0.1111980479026784,normal
2024-12-10,0.00034763309482837976,0.004880599499525484,-0.0007046705780981,normal
2024-12-11,0.0008894886268322648,0.005074670522664593,-0.0423131430576005,normal
2024-12-12,0.0006075602965648849,0.005251816196332714,0.0250368302281329,normal
2024-12-13,0.0009191352023965498,0.004990678589915315,-0.0079022741432721,normal
2024-12-16,0.0017730749675838099,0.0038485916087827267,0.0637218779165704,normal
2024-12-17,0.00136220362253148,0.00402214354113433,0.0803267759620312,normal
2024-12-18,-0.0003107443904697702,0.008004737200676905,0.7403907396600702,normal
2024-12-19,-0.00034303957712808524,0.008003281058427257,-0.1278059587033482,normal
2024-12-20,-1.0906813718540229e-05,0.00838166465138945,-0.2378580118697417,normal
2024-12-23,0.0001335297183913998,0.008462584706911426,-0.0860566378639023,normal
2024-12-24,0.0005196858680545948,0.008789006345767422,-0.149582844229526,normal
2024-12-26,0.0002619430768953326,0.00871917035303419,0.032235393813347,normal
2024-12-27,-0.0001128846572706824,0.009023950665779684,0.0828241890660361,normal
2024-12-30,-0.0009940736119104575,0.009231887043906813,0.0909090800379102,normal
2024-12-31,-0.0012655888773672225,0.009225471960690965,-0.0028735194342935,normal
2025-01-02,-0.0014116250300605176,0.009219772769606302,0.0334293896803317,crisis
2025-01-03,-0.0010969369484128224,0.009593427702495057,-0.1003904692566893,normal
2025-01-06,-0.0007266289744564825,0.009713320731479414,-0.0055795567217488,normal
2025-01-07,-0.0013866167597755025,0.00997078899034402,0.1109724861408061,crisis
2025-01-08,-0.0010560781181272075,0.00994902554455437,-0.0067339469102022,normal
2025-01-10,-0.0016640013895909776,0.010440400030953369,0.1039548063998117,crisis
2025-01-13,-0.0019730177060985074,0.010237182610405847,-0.0179119941182602,normal
2025-01-14,-0.0016465760546063124,0.010234544516779145,-0.0250131024609965,normal
2025-01-15,-0.0007271511659734423,0.011155969188785114,-0.1384285607682731,normal
2025-01-16,-0.0010368141925713573,0.011095749746587981,0.0297766449904945,crisis
2025-01-17,-0.0003288036442979524,0.011337778422413652,-0.0379518132508102,normal
2025-01-21,0.0016190442311390576,0.00914109951304735,-0.0569818304443531,bull
2025-01-22,0.0019154727344963425,0.009171430133153928,0.0026560398896753,normal
2025-01-23,0.0015878239656343426,0.008904967428221791,-0.005298008058611,bull
2025-01-24,0.0011424491020059176,0.008896048121682416,-0.0113182470780865,bull
2025-01-27,-0.0001205777055156774,0.009193866358767072,0.2053871487347855,normal
2025-01-28,0.00030570825310211985,0.009398386608665354,-0.0832402124509377,normal
2025-01-29,0.0006078981684416647,0.009124942310543423,0.0091407446633176,normal
2025-01-30,0.00144683257848978,0.008724230858106669,-0.0434782208076308,bull
2025-01-31,0.00136263223229473,0.008783810501975636,0.0372474840217409,normal
2025-02-03,0.001148996844626955,0.008932304346166504,0.1332927871807601,normal
2025-02-04,0.0008592501328852197,0.008633599358240792,-0.0757251176804346,normal
2025-02-05,0.0007739471502164199,0.008590947883168555,-0.0836722082111085,normal
