Date,dominant_regime,dominant_regime_probability,transition_entropy,instability_score
2024-12-09,normal,0.5333333333333333,0.6909233093138181,0.3224308776797818
2024-12-10,normal,0.5333333333333333,0.6909233093138181,0.3224308776797818
2024-12-11,normal,0.5333333333333333,0.6909233093138181,0.3224308776797818
2024-12-12,normal,0.5333333333333333,0.6909233093138181,0.3224308776797818
2024-12-13,normal,0.5333333333333333,0.6909233093138181,0.3224308776797818
2024-12-16,normal,0.5333333333333333,0.6909233093138181,0.3224308776797818
2024-12-17,normal,0.55,0.6881388137135884,0.30966246617111476
2024-12-18,normal,0.55,0.6881388137135884,0.30966246617111476
2024-12-19,normal,0.5666666666666667,0.6842317651303003,0.29650043155646344
2024-12-20,normal,0.5666666666666667,0.6842317651303003,0.29650043155646344
2024-12-23,normal,0.5833333333333334,0.6791932659915256,0.2829971941631357
2024-12-24,normal,0.5833333333333334,0.6791932659915256,0.2829971941631357
2024-12-26,normal,0.6,0.6730116670092565,0.26920466680370264
2024-12-27,normal,0.6,0.6730116670092565,0.26920466680370264
2024-12-30,normal,0.6166666666666667,0.6656723999853216,0.25517441999437324
2024-12-31,normal,0.6166666666666667,0.6656723999853216,0.25517441999437324
2025-01-02,normal,0.6333333333333333,0.6571577614973405,0.24095784588235822
2025-01-03,normal,0.6166666666666667,0.7342296165267798,0.28145468633526555
2025-01-06,normal,0.6333333333333333,0.7249571411921918,0.265817618437137
2025-01-07,normal,0.65,0.7144520677198336,0.25005822370194175
2025-01-08,normal,0.6333333333333333,0.7688576638587279,0.28191447674820025
2025-01-10,normal,0.65,0.7575189094831263,0.26513161831909415
2025-01-13,normal,0.65,0.7909873504355756,0.2768455726524514
2025-01-14,normal,0.65,0.7909873504355756,0.2768455726524514
2025-01-15,normal,0.6666666666666666,0.7774171975634765,0.2591390658544922
2025-01-16,normal,0.6833333333333333,0.7624493762768099,0.24144230248765644
2025-01-17,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-01-21,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-01-22,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-01-23,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-01-24,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
2025-01-27,normal,0.65,0.8178660873472432,0.2862531305715351
2025-01-28,normal,0.65,0.8178660873472432,0.2862531305715351
2025-01-29,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
2025-01-30,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
2025-01-31,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-03,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-04,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-05,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-06,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
2025-02-07,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
