Date,state_0_filtered_probability,state_1_filtered_probability,state_2_filtered_probability
2024-10-21,3.399971387053778e-221,1.0,9.530645584427984e-15
2024-10-22,2.6984985804913554e-222,1.0,1.2289290755096791e-14
2024-10-23,2.2728917459304957e-210,0.999999999998181,1.2855148018333923e-12
2024-10-24,4.6401117135787e-210,0.999999999994543,5.208548676139634e-12
2024-10-25,1.1242306306718622e-202,0.9999999999454303,5.4550573945894475e-11
2024-10-26,1.2681802179791323e-202,0.9999999999417923,5.796787799984197e-11
2024-10-27,3.278537355768505e-209,0.999999999992724,6.389419413352315e-12
2024-10-28,1.2175878938280805e-213,0.999999999994543,4.9073640804189565e-12
2024-10-29,1.1690277133582665e-210,0.999999999998181,2.0108233238169504e-12
2024-10-30,1.5779206213892888e-201,0.999999988327545,1.167331817966363e-08
2024-10-31,4.763535925290146e-174,0.5164173392233372,0.4835826607770752
2024-11-01,2.1079285565243104e-164,0.9127351749935114,0.08726482500606658
2024-11-02,7.405646345355296e-165,0.9837149345138517,0.01628506548671819
2024-11-03,1.6224722469868104e-181,0.9931915148531685,0.0068084851462900196
2024-11-04,3.881029274303121e-188,0.9989903435743499,0.0010096564249178204
2024-11-05,3.1172508737691137e-184,0.9999996763854666,3.236139664580247e-07
2024-11-06,6.324699732578319e-144,0.9999999392839546,6.071581990221766e-08
2024-11-07,2.8128183496792196e-139,0.9999993879448138,6.12055959918917e-07
2024-11-08,5.479493870540577e-140,0.9999988125626034,1.187438057521382e-06
2024-11-09,1.1321292339353943e-139,0.9999989015492823,1.09845095930705e-06
2024-11-10,7.192717955276723e-142,0.9999995537001355,4.462998062140216e-07
2024-11-11,2.7327816243885155e-141,0.9999984202489686,1.579750344988076e-06
2024-11-12,5.338589423103236e-143,0.9999999345855052,6.541452923062901e-08
2024-11-13,8.024274274204495e-144,0.9999998076364321,1.923635190064789e-07
2024-11-14,4.046600770242822e-144,0.9999970141187999,2.985880618700724e-06
2024-11-15,5.139212385369731e-134,0.9999910641962719,8.935803191361694e-06
2024-11-16,5.643635532117894e-133,0.9999833617004626,1.6638298990441396e-05
2024-11-17,1.6307693984939828e-132,0.9998889301228469,0.00011106987650574844
2024-11-18,1.2909145868799932e-131,0.9996137178116951,0.000386282187424815
2024-11-19,5.7930106071225976e-136,0.9999889701892989,1.102981025762783e-05
2024-11-20,1.4158228297373458e-151,0.9999999998581188,1.411352667982302e-10
2024-11-21,2.4082632524738626e-155,0.9999999999108695,8.935031129627978e-11
2024-11-22,7.779546727904401e-155,0.999999999990905,8.333377109703307e-12
2024-11-23,7.928938438807039e-158,0.999999999990905,9.027579233322538e-12
2024-11-24,4.2140105056863157e-154,1.0,5.140188906789568e-13
2024-11-25,4.349529915350943e-165,0.9999999983629095,1.6377328684581433e-09
2024-11-26,1.218052696088271e-182,0.999999997422492,2.578392645063125e-09
2024-11-27,3.457519528798838e-185,0.9999999389929163,6.10067548987718e-08
2024-11-28,1.41469846276679e-181,0.9999999714309529,2.8569123582994046e-08
2024-11-29,8.763305168353325e-180,0.9999999802748791,1.972516441813996e-08
2024-11-30,1.7888555952322488e-181,0.999999945830497,5.416949153825494e-08
2024-12-01,7.183848415243814e-191,0.9999999965039024,3.4960421055092376e-09
2024-12-02,3.3114437668908227e-193,0.999999993133315,6.867436320316867e-09
2024-12-03,5.496367092920221e-195,0.9999999935771484,6.422907160567263e-09
2024-12-04,3.643855849979707e-199,0.9999999999054126,9.457428471869923e-11
2024-12-05,7.819318060563452e-226,0.999999999992724,7.648101911780687e-12
2024-12-06,3.027858982563102e-223,0.999999999992724,7.982480424687963e-12
2024-12-07,4.753437798397334e-224,0.999999999994543,5.3604974634337825e-12
2024-12-08,5.269524056548501e-227,0.9999999999890861,1.1638716861735296e-11
2024-12-09,8.646560006591447e-215,0.9999999999672582,3.291294696876184e-11
2024-12-10,1.3572134807415278e-213,0.9999999999345164,6.577451989856997e-11
2024-12-11,6.759337490121783e-207,0.999999999992724,7.705987635641425e-12
2024-12-12,5.5314873393184725e-207,0.9999999998781277,1.2263975253081254e-10
2024-12-13,4.9657422274201e-206,0.9999999999727152,2.6571344208564162e-11
2024-12-14,1.2309791848424406e-208,0.9999999999672582,3.1896576257420883e-11
2024-12-15,5.0924980340874246e-207,1.0,3.715112463842459e-13
2024-12-16,1.0156594237802899e-203,0.999999999998181,1.924065693915711e-12
2024-12-17,1.804146316778872e-204,0.9999999585415944,4.145832156001436e-08
2024-12-18,1.4247103402298884e-151,1.3778367304561286e-64,1.0
2024-12-19,5.8563393881447e-139,1.9353459003623972e-33,1.0
2024-12-20,5.42818704612555e-133,1.6803625203455055e-05,0.9999831963752802
2024-12-21,3.0838538873977464e-132,6.937356522485814e-05,0.9999306264343683
2024-12-22,7.654172159789281e-133,0.011682429049024959,0.9883175709514039
2024-12-23,2.0574649211277048e-133,0.9569147411255614,0.04308525887436877
2024-12-24,2.362804618896632e-135,0.9999538928320779,4.610716847178456e-05
2024-12-25,1.9073633322259517e-138,0.9999998632101872,1.3678975067393633e-07
2024-12-26,1.733398089982875e-138,0.9999994012634461,5.987362212164001e-07
2024-12-27,3.661336235605295e-132,0.9991055755548343,0.0008944244443847624
2024-12-28,3.540944217459992e-128,0.9983093990827622,0.0016906009171713194
2024-12-29,9.226576047272403e-134,0.9948565518985413,0.005143448101690149
2024-12-30,7.759928826217983e-134,0.06620879606756316,0.933791203932794
2024-12-31,1.3092349280998469e-144,0.0008748888002021172,0.9991251112000243
2025-01-01,2.2392901033195272e-143,0.00017506904428956553,0.9998249309551525
2025-01-02,9.71276287714025e-140,0.00036430343797463807,0.999635696561804
2025-01-03,3.0811690295008385e-132,0.0138376757132801,0.9861623242862592
2025-01-04,6.074703299974611e-135,0.048949175812014065,0.951050824187492
2025-01-05,1.5060270664242143e-139,0.14409100528395208,0.8559089947162216
2025-01-06,1.7206278952740972e-136,0.7373071276859654,0.2626928723132369
2025-01-07,1.7153671355600167e-161,0.9999949368721838,5.063128304579555e-06
2025-01-08,2.957432782816659e-166,0.9999999736592148,2.634145740847169e-08
2025-01-09,1.5915333255610812e-167,0.9992062179308447,0.0007937820699876069
2025-01-10,6.167420755703184e-154,0.03756556770385662,0.9624344322965862
2025-01-11,6.641002006597235e-152,0.003765952502596697,0.9962340474980071
2025-01-12,8.683297681191657e-156,0.0020721767194664164,0.9979278232800609
2025-01-13,6.476551795595617e-168,0.04276491282748106,0.9572350871724644
2025-01-14,1.735316874743234e-167,0.5486981632975633,0.4513018367017287
2025-01-15,6.878940339559821e-154,0.9996020612887188,0.00039793871124306544
2025-01-16,5.989506263551596e-162,0.999999497751686,5.022484734893194e-07
2025-01-17,4.455570985029269e-156,0.9999999944575393,5.5429067606155145e-09
2025-01-18,1.1894175378755463e-159,0.9999999957472028,4.2526940298054675e-09
2025-01-19,1.9118583602115975e-162,0.9999999999217835,7.760194545295111e-11
2025-01-20,1.1684324160671905e-166,0.9999999999527063,4.70078226118514e-11
2025-01-21,4.390920870226325e-162,0.9999999999708962,2.9945167905260975e-11
2025-01-22,8.656100464772374e-160,0.9999999999781721,2.0928582449279383e-11
2025-01-23,1.7525042535765334e-163,0.9999999999581632,4.2176432265157416e-11
2025-01-24,2.882103928693525e-162,0.9999999998672138,1.3195428376125552e-10
2025-01-25,2.245878482330468e-161,0.9999999998763087,1.2419059681642876e-10
2025-01-26,5.265983372517026e-162,0.9999999996271072,3.7299109813583135e-10
2025-01-27,4.5911123363475774e-166,0.9999988902297238,1.1097698212381362e-06
2025-01-28,2.041208817201458e-161,0.9999999961364665,3.863456649734215e-09
2025-01-29,9.372615926633216e-168,0.9999999969822966,3.018022167480725e-09
2025-01-30,8.975332783675433e-177,0.9999999999690772,3.160540688869537e-11
2025-01-31,6.670383943579927e-174,0.9999999998799467,1.209444513405517e-10
2025-02-01,7.414128710330651e-170,0.9999999997435225,2.562480104436484e-10
2025-02-02,5.054855142308874e-159,0.9999999989904609,1.00876170608401e-09
