,bull,crisis,high_volatility,normal
bull,0.46956521739130436,0.0,0.0,0.5304347826086957
crisis,0.0,0.20689655172413793,0.13793103448275862,0.6551724137931034
high_volatility,0.05555555555555555,0.16666666666666666,0.7777777777777778,0.0
normal,0.234375,0.078125,0.0,0.6875
