Date,state_0_probability,state_1_probability,state_2_probability
2024-06-07,3.191292881869369e-102,5.098346550843979e-170,1.0
2024-06-08,4.1012436782018977e-08,3.71084658641533e-70,0.9999999589872468
2024-06-09,2.462234067572094e-08,3.642641007898901e-15,0.9999999753772503
2024-06-10,8.663152337143295e-09,1.5627656975325172e-15,0.999999991337063
2024-06-11,2.928780616508274e-09,3.459736361660449e-16,0.9999999970714271
2024-06-12,7.883489661110804e-10,2.2074287546369798e-16,0.9999999992114681
2024-06-13,2.411383029009617e-09,5.496786954285977e-17,0.9999999975889295
2024-06-14,2.4915654857281137e-09,1.3304674081761346e-16,0.9999999975079845
2024-06-15,2.469139380332707e-09,1.340647909597453e-16,0.9999999975307219
2024-06-16,2.4332390526004378e-09,1.2838116709075643e-16,0.9999999975671017
2024-06-17,3.3026846422173863e-09,1.7718664458232548e-16,0.9999999966976247
2024-06-18,7.462810236438535e-09,1.4984572133829773e-15,0.999999992537596
2024-06-19,9.641558556530731e-10,1.5994110932816583e-14,0.9999999990359356
2024-06-20,3.368805037745283e-10,2.771023104567852e-16,0.999999999663487
2024-06-21,4.860469501366878e-10,7.147763162344964e-17,0.9999999995143298
2024-06-22,4.854905747713066e-10,1.0252024384888185e-16,0.9999999995143298
2024-06-23,2.0043903619006524e-10,6.994096565395861e-17,0.9999999997999112
2024-06-24,3.411532683199822e-10,1.1832022183209938e-17,0.9999999996589395
2024-06-25,3.4239774466548336e-10,4.946484564720807e-17,0.99999999965803
2024-06-26,2.789180879392593e-10,9.083286131307375e-17,0.9999999997207851
2024-06-27,2.6725375823670827e-10,7.517665647726135e-17,0.9999999997326086
2024-06-28,2.1965954272088974e-10,5.437295915027032e-17,0.9999999997799023
2024-06-29,2.2380958043734248e-10,4.531036674627667e-17,0.9999999997762643
2024-06-30,5.767562711041847e-10,4.6229503222938516e-17,0.9999999994233804
2024-07-01,3.07993422530857e-10,3.0673851364715635e-16,0.9999999996916813
2024-07-02,3.3240528055166005e-10,2.1816955495132843e-16,0.9999999996680344
2024-07-03,2.418107262572978e-10,2.5260380134552845e-16,0.9999999997580744
2024-07-04,5.632767145140227e-10,4.117070227898758e-16,0.9999999994370228
2024-07-05,2.5894897012772944e-10,5.330616424933178e-16,0.999999999740794
2024-07-06,3.476893170656245e-10,3.0907951551196715e-16,0.999999999652573
2024-07-07,9.055929082017547e-10,4.3064770321930554e-16,0.9999999990941433
