Date,spy_vol_20d,qqq_vol_20d,btc_vol_20d,vix_level,vix_ma_20d,vix_stress_ratio,spy_momentum_20d,qqq_momentum_20d,tlt_momentum_20d,gld_momentum_20d,btc_momentum_20d,momentum_breadth,spy_tlt_momentum_spread_20d,equity_bond_corr_20d,equity_gold_corr_20d,risk_asset_dispersion_20d,yield_spread_proxy,vix_term_structure_proxy,inflation_pressure_proxy,liquidity_stress_proxy,realized_vol_regime_score,volatility_regime_label,hidden_state
2024-08-03,0.15607831839901645,0.24383581222140907,0.4268207991630448,23.38999938964844,16.879999971389772,1.385663473299324,-0.04837571859299161,-0.0931046849535817,0.04968726799514056,0.009995050519647553,-0.0017717244448299807,0.4,-0.09806298658813217,-0.013124901321249206,0.5756177353536733,0.020811630224203955,-0.09806298658813217,1.385663473299324,-0.03969221747549301,1.4340391918923157,1.7607013155910236,high_volatility,2
2024-08-04,0.15517040542331803,0.2429316911152888,0.3725829850794282,23.38999938964844,17.39349994659424,1.3447551936910982,-0.05098551689695352,-0.09553565973907152,0.06189586697376037,0.006746166709035384,-0.10410297397583723,0.4,-0.11288138387071389,0.02641556078690499,0.571141277472602,0.019314302950153548,-0.11288138387071389,1.3447551936910982,-0.05514970026472499,1.3957407105880517,1.709037700970375,high_volatility,2
2024-08-05,0.17792962033234472,0.2574448787187573,0.43760955244552485,38.56999969482422,18.662499952316285,2.0667113084191664,-0.0840561707594264,-0.1228391307369967,0.05266395539062252,-0.025450075471821876,-0.1706018108752123,0.2,-0.13672012615004892,-0.0673780387086382,0.6142844025173034,0.022438187216420068,-0.13672012615004892,2.0667113084191664,-0.0781140308624444,2.150767479178593,2.238236200721947,high_volatility,2
2024-08-06,0.1802336301211546,0.24832997128944934,0.467097098235277,27.709999084472656,19.3239999294281,1.433968080401082,-0.06246605346002376,-0.08767671952249001,0.028898746493337457,-0.028737397799921904,-0.1260859131649622,0.2,-0.09136479995336122,-0.20636058630322265,0.5333797194210401,0.023002598041871457,-0.09136479995336122,1.433968080401082,-0.05763614429325936,1.4964341338611056,1.9267026113680608,high_volatility,2
2024-08-07,0.1799351392502835,0.24935957020557373,0.46862117130406256,27.850000381469727,19.9199999332428,1.3980923933133766,-0.061520866199001545,-0.09326582015654816,0.029525251368138106,-0.023164123287339855,-0.13984737834135796,0.2,-0.09104611756713965,-0.21233587154135322,0.5253504067940884,0.023093992327310804,-0.09104611756713965,1.3980923933133766,-0.05268937465547796,1.4596132595123783,1.8982586690813683,high_volatility,2
2024-08-08,0.2018564988981165,0.27839731675285306,0.6337452118928864,23.790000915527344,20.28349995613098,1.1728745515803585,-0.03340682024033981,-0.05717119156234318,0.029248325887502702,0.010282771042392502,-0.07495139889212898,0.4,-0.06265514612784251,-0.28002069027601223,0.6449096664441318,0.030324848791410355,-0.06265514612784251,1.1728745515803585,-0.0189655548451102,1.2062813718206984,1.9513482174108399,high_volatility,2
2024-08-09,0.2029299907238075,0.2797062617949726,0.6336053064722437,20.3700008392334,20.475999975204466,0.9948232498486311,-0.029144496388410435,-0.05224734540749987,0.039398282584290234,0.012763279148447548,-0.09355559595749519,0.4,-0.06854277897270067,-0.2543608898503601,0.6466589890160842,0.030366755371542074,-0.06854277897270067,0.9948232498486311,-0.026635003435842686,1.0239677462370416,1.8318898450656969,high_volatility,2
2024-08-10,0.2029299907238075,0.2797062617949726,0.6300400813748108,20.3700008392334,20.668499994277955,0.9855577736590853,-0.029144496388410435,-0.05224734540749987,0.039398282584290234,0.012763279148447548,-0.10577010261264064,0.4,-0.06854277897270067,-0.2543608898503601,0.6466589890160842,0.030306328783109616,-0.06854277897270067,0.9855577736590853,-0.026635003435842686,1.0147022700474957,1.7974036645059654,high_volatility,2
2024-08-11,0.1982862151854731,0.27229452789088526,0.6399804578291173,20.3700008392334,20.94150004386902,0.9727097293203245,-0.039051907601518776,-0.0661594569155276,0.04242724928718844,0.012443617984044142,-0.13117900170525376,0.4,-0.08147915688870722,-0.23895767783930116,0.6632605092202778,0.030257950521260776,-0.08147915688870722,0.9727097293203245,-0.029983631303144298,1.0117616369218432,1.7445442997980154,high_volatility,2
2024-08-12,0.19847401812054163,0.27297103771208003,0.6388926621382778,20.709999084472656,21.24099998474121,0.9750011345675812,-0.03703632431670845,-0.06083806495993338,0.04768760557516272,0.026192837555459425,-0.09970253860113276,0.4,-0.08472392989187116,-0.2376290207094856,0.6233970659369122,0.03096770099027325,-0.08472392989187116,0.9750011345675812,-0.021494768019703292,1.0120374588842895,1.7310930984179205,high_volatility,2
2024-08-13,0.19243499089003654,0.2607463987266499,0.645068051018329,18.1200008392334,21.244999980926515,0.8529066065192422,0.001496645041807687,-0.001726588039869581,0.06648028632321723,0.02822359973266142,-0.0728531593104047,0.6,-0.06498364128140954,-0.35472644676292364,0.5703099139247095,0.030653747740024002,-0.06498364128140954,0.8529066065192422,-0.03825668659055581,0.8514099614774345,1.6098199693675013,high_volatility,2
2024-08-14,0.19163675513445727,0.25744740836703284,0.651449986645843,16.190000534057617,21.131500053405762,0.7661548159449417,0.009918157376554326,0.009732222881999375,0.06444467329188974,0.03604632918602446,-0.10702727067035578,0.8,-0.054526515915335416,-0.3417480907357842,0.5504061246388693,0.03049465799942435,-0.054526515915335416,0.7661548159449417,-0.02839834410586528,0.7562366585683874,1.5318800354853208,high_volatility,2
2024-08-15,0.1970922335803872,0.27010574864588865,0.6380772565222063,15.229999542236328,21.073500061035155,0.7227085912698744,0.015850931330067874,0.024731643819830396,0.04767962835204176,0.028463937997157185,-0.15243190182524646,0.8,-0.031828697021973884,-0.42075473771123056,0.5156213472737965,0.030440180566715408,-0.031828697021973884,0.7227085912698744,-0.019215690354884574,0.7068576599398065,1.505165941911432,high_volatility,2
2024-08-16,0.1971231511967761,0.2700584682753011,0.6470926127113926,14.800000190734863,20.994000101089476,0.7049633285448457,0.018128562662161674,0.026049172662148345,0.05134777693842696,0.051488919725063864,-0.13152620123231196,0.8,-0.033219214276265285,-0.4216012733236787,0.45871602142497137,0.03062869519878702,-0.033219214276265285,0.7049633285448457,0.00014114278663690527,0.686834765882684,1.4741891059682026,high_volatility,2
2024-08-17,0.1971231511967761,0.2700584682753011,0.6480968761814969,14.800000190734863,20.914500141143797,0.7076430271273728,0.018128562662161674,0.026049172662148345,0.05134777693842696,0.051488919725063864,-0.128588133048544,0.8,-0.033219214276265285,-0.4216012733236787,0.45871602142497137,0.030648474876489765,-0.033219214276265285,0.7076430271273728,0.00014114278663690527,0.6895144644652111,1.4516193255620535,high_volatility,2
2024-08-18,0.19714939002515197,0.27009489231699335,0.6469579470972874,14.800000190734863,20.824500131607056,0.7107013420346971,0.01753059548907654,0.02399221558949871,0.045724682332085154,0.05296839951431198,-0.12475246841761833,0.8,-0.028194086843008614,-0.4204294013455879,0.4603886935190904,0.03056320909609587,-0.028194086843008614,0.7107013420346971,0.007243717182226828,0.6931707465456206,1.4279449757417657,high_volatility,2
2024-08-19,0.19807126305477957,0.2670528351904617,0.6519454347147977,14.649999618530272,20.672500085830688,0.7086709182587766,0.03249065925884609,0.05188718465990605,0.04652438282052129,0.04085024340895016,-0.10132114192923303,0.8,-0.014033723561675204,-0.4061218287605492,0.4715923175784035,0.03065440813633749,-0.014033723561675204,0.7086709182587766,-0.005674139411571133,0.6761802589999305,1.4065887196277647,high_volatility,2
2024-08-20,0.19064382701146926,0.2476606144867086,0.6481262468785044,15.880000114440918,20.648500061035158,0.7690631313413094,0.014324290718214838,0.01950870770431745,0.04418233552940376,0.026086972335017666,-0.08676140672090749,0.8,-0.029858044811188922,-0.4845092211557757,0.40472846904342297,0.030195759493940218,-0.029858044811188922,0.7690631313413094,-0.018095363194386094,0.7547388406230946,1.3849587626337163,high_volatility,2
2024-08-21,0.18240748958221956,0.2290429121904184,0.6619931083386068,16.270000457763672,20.532500076293946,0.7924023084041482,0.03243011104146043,0.04968878916572561,0.03588292144735128,0.028258801006727507,-0.06399125721990595,0.8,-0.0034528104058908493,-0.46658934425032195,0.38170205413200203,0.03011860533918121,-0.0034528104058908493,0.7924023084041482,-0.007624120440623772,0.7599721973626877,1.3461419384431002,high_volatility,2
2024-08-22,0.17011982695054922,0.2185258235552216,0.6275753015662889,17.549999237060547,20.240500068664552,0.8670734012264193,0.04376024357114505,0.05816171711472928,-0.0053930409787226186,0.017884081143118458,-0.016822457488132936,0.6,0.04915328454986767,-0.186096963463083,0.4224035224538665,0.02875592033511931,0.04915328454986767,0.8670734012264193,0.023277122121841076,0.8233131576552742,1.304706776935932,high_volatility,2
2024-08-23,0.17246336220128913,0.21998957603112482,0.6623862254053674,15.859999656677246,19.86400008201599,0.7984292987914456,0.05485051914403938,0.06963795146066198,0.0011190118403776594,0.029644129063327807,0.05626658608697355,1.0,0.05373150730366172,-0.14563643820330405,0.44566680481846654,0.029703867822903504,0.05373150730366172,0.7984292987914456,0.028525117222950147,0.7435787796474063,1.2660357436994185,high_volatility,2
2024-08-24,0.17246336220128913,0.21998957603112482,0.6401236015287036,15.859999656677246,19.48750009536743,0.8138550136786137,0.05485051914403938,0.06963795146066198,0.0011190118403776594,0.029644129063327807,0.10430714024637533,1.0,0.05373150730366172,-0.14563643820330405,0.44566680481846654,0.028617082986416277,0.05373150730366172,0.8138550136786137,0.028525117222950147,0.7590044945345743,1.2398952495545794,high_volatility,1
2024-08-25,0.12578703753862713,0.18241780667699653,0.572960616684972,15.859999656677246,18.352000093460084,0.8642109620699661,0.08649348019739933,0.10251047534898605,-0.004149849974970032,0.04288029813073657,0.19155041382776639,0.8,0.09064333017236936,-0.049797689623563346,0.2931480474930792,0.0246828440910973,0.09064333017236936,0.8642109620699661,0.047030148105706604,0.7777174818725667,1.037569922296234,normal_volatility,1
