Date,state_0_filtered_probability,state_1_filtered_probability,state_2_filtered_probability,macro_stress_evidence,state_0_likelihood,state_1_likelihood,state_2_likelihood,posterior_state_0_probability,posterior_state_1_probability,posterior_state_2_probability,bayesian_most_likely_state,posterior_entropy,posterior_normalized_entropy,bayesian_confidence,calibrated_state_0_probability,calibrated_state_1_probability,calibrated_state_2_probability,calibrated_most_likely_state,calibrated_regime_entropy,calibrated_normalized_entropy,calibrated_regime_confidence,calibrated_max_probability
2024-08-03,0.0,0.0,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,0.0,0.0,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-04,1.0880159068581758e-127,1.3256749046413158e-32,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,8.531472966779492e-128,1.3453704375285714e-32,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-05,8.98655951108352e-112,1.2977397264287563e-133,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,7.04664233766189e-112,1.3170202267772875e-133,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-06,2.618274253848277e-105,2.14739714950418e-45,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.0530707203376456e-105,2.1793009979001802e-45,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-07,2.633070144693088e-103,3.5189221458769053e-43,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.064672641041768e-103,3.5712027213099625e-43,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-08,1.3239839814991549e-78,4.2394274851656395e-30,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.038177243127522e-78,4.3024125980050576e-30,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-09,2.784571115963927e-79,5.4191416628961005e-24,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.183469290308632e-79,5.499653772213842e-24,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-10,4.5845706276397076e-79,1.4408449130863208e-23,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,3.594905196463998e-79,1.4622515251235344e-23,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-11,2.1927804880934545e-82,2.014131160453364e-24,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.7194277526945577e-82,2.044055077977238e-24,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-12,1.0767647978447032e-79,1.6686472073654277e-24,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,8.443249502591442e-80,1.6934382747944256e-24,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-13,1.7282212586742005e-88,1.8876439511120706e-18,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.3551523333486062e-88,1.9156886499959323e-18,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-14,5.426656762422902e-89,2.793548923858588e-17,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,4.255211268215128e-89,2.8350526398219684e-17,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-15,2.454057495745088e-83,1.1364262205654276e-16,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.924303224971225e-83,1.1533100884901524e-16,0.9999999999999998,2,5.526226427646202e-11,5.030188069665469e-11,0.999999999949698,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-16,6.250744218166113e-82,5.882915238761299e-17,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,4.90140401288166e-82,5.970317625388895e-17,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-17,4.140995820193347e-82,1.0672142274502296e-16,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,3.2470843186056054e-82,1.0830698137941382e-16,0.9999999999999998,2,5.526226427646202e-11,5.030188069665469e-11,0.999999999949698,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-18,3.3677040866279923e-81,4.873217907350494e-16,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.6407220881674764e-81,4.945619235326867e-16,0.9999999999999996,2,5.5262486321066935e-11,5.030208281036415e-11,0.999999999949698,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-08-19,2.818738261421367e-82,1.7034594845220436e-14,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.2102608175266027e-82,1.7287677574492965e-14,0.9999999999999828,2,5.5279250688738775e-11,5.0317342395428655e-11,0.9999999999496828,0.15056638178790097,0.15056638178790097,0.698867236424198,2,0.8205503633206599,0.7468971281173679,0.25310287188263214,0.698867236424198
2024-08-20,8.088517879314057e-91,9.709277294771985e-14,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,6.34245981089951e-91,9.853527887130541e-14,0.9999999999999016,2,5.5360519014141337e-11,5.0391316013092334e-11,0.9999999999496086,0.15056638178790213,0.15056638178790213,0.6988672364241958,2,0.8205503633206634,0.7468971281173711,0.2531028718826289,0.6988672364241958
2024-08-21,1.0999820883529092e-94,2.396911555537478e-09,0.999999997602572,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,8.62530353760575e-95,2.4325224357702404e-09,0.9999999975674776,2,5.0707623477163744e-08,4.615606797793839e-08,0.999999953843932,0.1505663818163426,0.1505663818163426,0.6988672363673148,2,0.8205503634079789,0.7468971281968491,0.25310287180315094,0.6988672363673148
2024-08-22,4.919148307351824e-90,0.0114613597053281,0.988538640295232,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,3.8566013110251845e-90,0.0116296606475024,0.9883703393524976,2,0.0633625661452153,0.0576750932051126,0.9423249067948872,0.15031413638575497,0.15289147936538,0.696794384248865,2,0.823711159712277,0.7497742089803984,0.25022579101960163,0.696794384248865
2024-08-23,7.263782851540021e-90,0.1924259764734329,0.8075740235258608,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,5.67952226921327e-90,0.1947281439841003,0.8052718560158997,2,0.4930066472062799,0.4487539892749343,0.5512460107250656,0.14174690975479234,0.21467947316649774,0.64357361707871,2,0.8908754966032726,0.8109098230489625,0.18909017695103747,0.64357361707871
2024-08-24,4.649501245869529e-98,0.899508698042302,0.1004913019585195,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,3.5977391824564937e-98,0.9008339518906114,0.0991660481093884,1,0.323246720486732,0.2942318448655043,0.7057681551344956,0.13523834563636022,0.3602999110143829,0.5044617433492569,2,0.983559055366391,0.8952740338985264,0.10472596610147356,0.5044617433492569
2024-08-25,3.315913510379712e-121,0.999999999647116,3.536753593529045e-10,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.5620471798624305e-121,0.9999999996515022,3.484977335665919e-10,1,7.965499652353835e-09,7.250510243254896e-09,0.9999999927494898,0.13549059107102218,0.5407417650026288,0.323767643926349,1,0.968403307583878,0.8814786777580205,0.11852132224197953,0.5407417650026288
2024-08-26,1.2219929771421778e-130,0.9999999998562998,1.4454093934350244e-10,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,9.441753082789417e-131,0.999999999857575,1.4242493415657418e-10,1,3.399143433234854e-09,3.094033689861386e-09,0.9999999969059664,0.14405781770364892,0.6617207227436122,0.194221459552739,1,0.8706317053162038,0.7924831301238259,0.20751686987617413,0.6617207227436122
2024-08-27,1.1008394677292777e-134,0.9999999997125996,2.8821676554507085e-10,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,8.505658078673205e-135,0.9999999997160026,2.8399741998432026e-10,1,6.554475581507337e-09,5.966140784255728e-09,0.9999999940338592,0.15056638179696094,0.6988672364060782,0.15056638179696094,1,0.820550363348475,0.7468971281426863,0.2531028718573137,0.6988672364060782
2024-08-28,3.667141725908302e-169,0.9999999998854036,1.1472074268205486e-10,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.83342436031051e-169,0.9999999998869588,1.1304128987331101e-10,1,2.7296872174289787e-09,2.4846683817257164e-09,0.9999999975153316,0.150566381794208,0.698867236411584,0.150566381794208,1,0.8205503633400231,0.746897128134993,0.253102871865007,0.698867236411584
2024-08-29,2.6871351766628922e-170,0.999999999989086,1.1343788165531184e-11,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.0762203476344345e-170,0.9999999999888224,1.1177720927355003e-11,1,3.206784364002333e-10,2.918940919448518e-10,0.999999999708106,0.15056638179267348,0.6988672364146531,0.15056638179267348,1,0.8205503633353121,0.7468971281307049,0.25310287186929514,0.6988672364146531
2024-08-30,2.454879562612894e-170,0.999999999998181,1.135379485838415e-12,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.896767584734402e-170,0.9999999999988812,1.1187581127369881e-12,1,5.953667570689049e-11,5.419261765137283e-11,0.9999999999458072,0.15056638178936615,0.6988672364212677,0.15056638178936615,1,0.8205503633251583,0.7468971281214625,0.2531028718785375,0.6988672364212677
2024-08-31,1.1271406735948474e-173,1.0,1.419517179280885e-13,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,8.708874869743397e-174,0.99999999999986,1.398736176139346e-13,1,5.5401930332959855e-11,5.0429010219907295e-11,0.999999999949571,0.15056638178804613,0.6988672364239078,0.15056638178804613,1,0.8205503633211055,0.7468971281177735,0.25310287188222647,0.6988672364239078
2024-09-01,1.0332076195013211e-173,0.999999999998181,2.0103082090458997e-12,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,7.983099255928927e-174,0.9999999999980193,1.9808783283671265e-12,1,8.299156169665351e-11,7.554217493531534e-11,0.999999999924458,0.1505663817879386,0.6988672364241229,0.1505663817879386,1,0.8205503633207754,0.7468971281174729,0.2531028718825271,0.6988672364241229
2024-09-02,6.750594814938685e-172,0.9999999952997314,4.699443252689716e-09,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,5.21586053285068e-172,0.9999999953693542,4.630645815107081e-09,1,9.352300708151605e-08,8.51283096376954e-08,0.9999999148716904,0.15056638184206597,0.6988672363158681,0.15056638184206597,1,0.8205503634869525,0.7468971282687339,0.2531028717312661,0.6988672363158681
2024-09-03,1.5026905833894224e-148,1.1488420756166912e-06,0.9999988511578756,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.1783066580178152e-148,1.1659103858202769e-06,0.9999988340896142,2,1.709461473915504e-05,1.5560188899652217e-05,0.9999844398111004,0.15056639547362696,0.5161002984020014,0.3333333061243717,1,0.9926558350741601,0.9035542796245208,0.09644572037547916,0.5161002984020014
2024-09-04,1.0896629110487644e-155,2.480679160583859e-12,0.999999999998181,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,8.544387641678188e-156,2.517534574997016e-12,0.9999999999974823,2,9.738622432614791e-11,8.864476151474057e-11,0.9999999999113552,0.15056639547363326,0.33333334685664456,0.5161002576697222,2,0.9926558528806116,0.9035542958326516,0.09644570416734843,0.5161002576697222
2024-09-05,7.341589066369093e-157,4.889774336612856e-09,0.9999999951105564,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,5.7567695705137646e-157,4.962421642857206e-09,0.9999999950375784,2,9.987836286378197e-08,9.091320376988353e-08,0.9999999090867964,0.1505663954775123,0.15056639547751233,0.6988672090449755,2,0.820550405349318,0.7468971663735011,0.2531028336264989,0.6988672090449755
2024-09-06,1.8356248856891844e-143,1.1923233863737445e-19,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.4393708759853957e-143,1.210037717682537e-19,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638184594964,0.1505663818459497,0.6988672363081007,2,0.820550363498876,0.7468971282795871,0.2531028717204129,0.6988672363081007
2024-09-07,1.9381336827702032e-142,3.849661740256827e-18,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.5197512294012945e-142,3.906856109060658e-18,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638184592022,0.15056638184592025,0.6988672363081595,2,0.8205503634987856,0.7468971282795048,0.25310287172049517,0.6988672363081595
2024-09-08,5.362321510405885e-146,1.914521465705126e-17,1.0,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,4.204763985235681e-146,1.9429654834346118e-17,1.0,2,5.5262042231857085e-11,5.030167858294522e-11,0.9999999999496983,0.15056638178790074,0.15056638178790074,0.6988672364241985,2,0.8205503633206592,0.7468971281173672,0.2531028718826328,0.6988672364241985
2024-09-09,1.9333441011541697e-136,6.550346953569154e-09,0.9999999934498192,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,1.5159955685300019e-136,6.6476653628836675e-09,0.9999999933523348,2,1.318441882027763e-07,1.200097519049383e-07,0.999999879990248,0.1505663818656237,0.15056638186562374,0.6988672362687526,2,0.8205503635592776,0.746897128334567,0.253102871665433,0.6988672362687526
2024-09-10,5.49462633341993e-137,7.294735077154314e-07,0.9999992705273076,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,4.308508287659977e-137,7.403112770464821e-07,0.9999992596887228,2,1.1190717051523348e-05,1.0186229634378374e-05,0.9999898137703656,0.15056639052117496,0.15056639052117501,0.69886721895765,2,0.8205503901328013,0.7468971525228307,0.25310284747716927,0.69886721895765
2024-09-11,7.817155432291299e-134,0.0100837186429334,0.9899162813562488,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,6.128757858570081e-134,0.010231999411694,0.989768000588306,2,0.057064901685879,0.051942711978091,0.9480572880219088,0.1506285153496247,0.15101415440090618,0.6983573302494692,2,0.8213322341818287,0.7476088176453601,0.25239118235463986,0.6983573302494692
2024-09-12,4.284215233305645e-143,0.2858393742397532,0.7141606257605528,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,3.3451811201773083e-143,0.2888593832390447,0.7111406167609553,2,0.6011272307956929,0.5471695856638038,0.4528304143361962,0.14103410000444006,0.22538042510036793,0.633585474895192,2,0.9012034087330941,0.8203106937986812,0.17968930620131884,0.633585474895192
2024-09-13,3.408018725073636e-136,0.6387608960843139,0.3612391039159631,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.647211853858564e-136,0.6421568495519556,0.3578431504480445,1,0.6521671165707723,0.5936280918188342,0.4063719081811657,0.13100686800559147,0.33601816598278655,0.532974966011622,2,0.9681211795644351,0.8812218737677929,0.11877812623220707,0.532974966011622
2024-09-14,2.8751612739122734e-137,0.846397704507693,0.1536022954918686,0.8790062526672783,0.8790062526672783,1.1376483352258022,1.1209937473327218,2.2265057379689955e-137,0.8483052535745457,0.1516947464254544,1,0.4256375681078638,0.3874320108178298,0.6125679891821703,0.1231142696348931,0.47150006791404486,0.40538566245106206,1,0.9784004694117345,0.8905784866086719,0.1094215133913281,0.47150006791404486
