date,close
2005-01-03,44.396461486816406
2005-01-04,43.93121337890625
2005-01-05,44.166316986083984
2005-01-06,44.19636535644531
2005-01-07,44.29642868041992
2005-01-10,44.3664665222168
2005-01-11,44.62660598754883
2005-01-12,44.68666076660156
2005-01-13,45.11692428588867
2005-01-14,45.111915588378906
2005-01-18,45.26200485229492
2005-01-19,45.392086029052734
2005-01-20,45.482147216796875
2005-01-21,45.532169342041016
2005-01-24,45.72727966308594
2005-01-25,45.29707717895508
2005-01-26,45.3820915222168
2005-01-27,45.29707717895508
2005-01-28,45.752315521240234
2005-01-31,45.882354736328125
2005-02-01,45.8095817565918
2005-02-02,45.91503143310547
2005-02-03,45.889896392822266
2005-02-04,46.52766036987305
2005-02-07,46.874202728271484
2005-02-08,47.140357971191406
2005-02-09,47.265892028808594
2005-02-10,46.62812042236328
2005-02-11,46.59798812866211
2005-02-14,46.74366760253906
2005-02-15,46.507606506347656
2005-02-16,46.331825256347656
2005-02-17,46.04052734375
2005-02-18,45.6287727355957
2005-02-22,45.42790603637695
2005-02-23,45.57855987548828
2005-02-24,45.478118896484375
2005-02-25,45.6990852355957
2005-02-28,45.20695114135742
2005-03-01,45.192813873291016
2005-03-02,45.132389068603516
2005-03-03,45.10722732543945
2005-03-04,45.595848083496094
2005-03-07,45.77717971801758
2005-03-08,45.34394454956055
2005-03-09,44.603424072265625
2005-03-10,44.875457763671875
2005-03-11,44.54798126220703
2005-03-14,44.81499481201172
2005-03-15,44.53291320800781
2005-03-16,44.80488586425781
2005-03-17,44.95100402832031
2005-03-18,44.66891098022461
2005-03-21,44.542972564697266
2005-03-22,44.165096282958984
2005-03-23,44.37672805786133
2005-03-24,44.46738815307617
2005-03-28,44.195335388183594
2005-03-29,44.45732879638672
2005-03-30,44.67900466918945
2005-03-31,45.00139236450195
2005-04-01,45.15309143066406
2005-04-04,45.14297103881836
2005-04-05,45.026676177978516
2005-04-06,45.18342971801758
2005-04-07,44.81938171386719
2005-04-08,44.97610092163086
2005-04-11,45.218833923339844
