date,close
2005-01-03,33.6529426574707
2005-01-04,33.03952407836914
2005-01-05,32.83506774902344
2005-01-06,32.67314910888672
2005-01-07,32.843563079833984
2005-01-10,32.82652282714844
2005-01-11,32.59649658203125
2005-01-12,32.869144439697266
2005-01-13,32.434627532958984
2005-01-14,32.7413444519043
2005-01-18,32.98843002319336
2005-01-19,32.443153381347656
2005-01-20,31.821195602416992
2005-01-21,31.565610885620117
2005-01-24,31.122591018676758
2005-01-25,31.275930404663086
2005-01-26,31.65081214904785
2005-01-27,31.608190536499023
2005-01-28,31.454877853393555
2005-01-31,31.863807678222656
2005-02-01,31.966032028198242
2005-02-02,32.01715850830078
2005-02-03,31.65081214904785
2005-02-04,32.1619987487793
2005-02-07,32.09384536743164
2005-02-08,32.153465270996094
2005-02-09,31.61672592163086
2005-02-10,31.65081214904785
2005-02-11,32.119388580322266
2005-02-14,32.26422882080078
2005-02-15,32.47720718383789
2005-02-16,32.35792922973633
2005-02-17,31.923437118530273
2005-02-18,31.821195602416992
2005-02-22,31.429304122924805
2005-02-23,31.471904754638672
2005-02-24,31.872329711914062
2005-02-25,32.05125045776367
2005-02-28,31.710445404052734
2005-03-01,32.05976867675781
2005-03-02,32.042724609375
2005-03-03,31.778606414794922
2005-03-04,31.966032028198242
2005-03-07,32.426109313964844
2005-03-08,32.102378845214844
2005-03-09,32.008628845214844
2005-03-10,31.966032028198242
2005-03-11,31.6678466796875
2005-03-14,31.812685012817383
2005-03-15,31.55711555480957
2005-03-16,31.199256896972656
2005-03-17,31.275930404663086
2005-03-18,31.10554313659668
2005-03-21,31.165170669555664
2005-03-22,30.781801223754883
2005-03-23,30.89254379272461
2005-03-24,30.90108871459961
2005-03-28,30.960718154907227
2005-03-29,30.71364402770996
2005-03-30,31.292980194091797
2005-03-31,31.156654357910156
2005-04-01,30.841432571411133
2005-04-04,31.062946319580078
2005-04-05,31.148168563842773
2005-04-06,31.097009658813477
2005-04-07,31.471904754638672
2005-04-08,31.21630096435547
2005-04-11,31.079986572265625
2005-04-12,31.23333740234375
2005-04-13,30.72215461730957
2005-04-14,30.287656784057617
2005-04-15,29.597551345825195
2005-04-18,29.6060733795166
2005-04-19,29.81053924560547
2005-04-20,29.563465118408203
2005-04-21,30.347280502319336
2005-04-22,29.895750045776367
2005-04-25,30.142822265625
2005-04-26,29.861658096313477
2005-04-27,29.904268264770508
2005-04-28,29.6060733795166
2005-04-29,29.80202293395996
2005-05-02,29.92130470275879
2005-05-03,30.074663162231445
2005-05-04,30.44101333618164
2005-05-05,30.466571807861328
2005-05-06,30.551759719848633
2005-05-09,30.696592330932617
2005-05-10,30.475095748901367
2005-05-11,30.62844467163086
2005-05-12,30.543245315551758
2005-05-13,30.875513076782227
2005-05-16,31.079986572265625
2005-05-17,31.267419815063477
2005-05-18,31.69340705871582
2005-05-19,31.957521438598633
2005-05-20,32.085296630859375
2005-05-23,32.2471923828125
2005-05-24,32.349430084228516
2005-05-25,32.213130950927734
2005-05-26,32.53685760498047
2005-05-27,32.55388641357422
2005-05-31,32.443153381347656
2005-06-01,32.707275390625
2005-06-02,32.93729019165039
2005-06-03,32.460182189941406
2005-06-06,32.46870422363281
2005-06-07,32.19607925415039
2005-06-08,32.127906799316406
2005-06-09,32.33237075805664
2005-06-10,31.991596221923828
2005-06-13,32.144962310791016
2005-06-14,32.01715850830078
