Date,regime_confidence,model_uncertainty,gross_exposure,max_asset_weight,min_asset_weight,BTC-USD_weight,BTC-USD_score,DIA_weight,DIA_score,ETH-USD_weight,ETH-USD_score,GLD_weight,GLD_score,QQQ_weight,QQQ_score,SPY_weight,SPY_score,TLT_weight,TLT_score,VIX_weight,VIX_score,CASH_weight,CASH_score
2025-02-19,0.6988672364215792,0.3011327635784208,1.0,0.21905033216859648,0.0,0.10903846770913002,0.04796919935436282,0.2116903280041983,0.09312874399989,0.0,-0.028425263071567987,0.21905033216859648,0.0963666243042314,0.1390136209395436,0.061156142744130254,0.20075414574716327,0.08831759874184422,0.0,-0.0012868667065424211,0.0,-0.15917125240177,0.12045310543136832,0.0
2025-02-20,0.6988672364227956,0.3011327635772044,1.0,0.2181048600969735,0.0,0.10897309914912341,0.046561869894004564,0.21201752795954726,0.09234735479545171,0.0,-0.02765550692304035,0.2181048600969735,0.09004182506893924,0.1392415082505904,0.0606989523523329,0.2012098991124458,0.08820145704885263,0.0,-0.002428526627479652,0.0,-0.15826868408274597,0.12045310543131967,0.0
2025-02-21,0.698860681271274,0.301139318728726,1.0,0.21861241058744496,0.0,0.10951741427610112,0.04652774025101795,0.21136396980178818,0.08355990160951764,0.0,-0.0277190996544507,0.21861241058744496,0.0907570210866705,0.13885902921873933,0.055067648647122346,0.20119380847858973,0.08175722661128962,0.0,-0.0030317938895676275,0.0,-0.15701046938320515,0.12045336763733674,0.0
2025-02-24,0.5488847462702935,0.4511152537297065,1.0,0.21974360466343998,0.0,0.098565672848491,-0.00963656768354787,0.2125658870050594,0.0698756214632456,0.0,-0.07774209779968336,0.21974360466343998,0.07192175205341086,0.1360389841790862,0.034614684447271525,0.20245016434646784,0.06686461990732728,0.004183045934664321,0.01308482510781972,0.0,-0.28970726713794015,0.12645264102279133,0.0
2025-02-25,0.4883337698094139,0.5116662301905861,0.9999999999999999,0.22122723927948365,0.0,0.0887091055636419,-0.04225305587011582,0.214632449462957,0.05957362702625221,0.0,-0.11424767189463322,0.22122723927948365,0.05991805482589335,0.13012860801416665,0.019651333651482243,0.20331416008696668,0.05391811808249758,0.007714411464648399,0.010088524196971236,0.0,-0.34918058716317446,0.1342740261281356,0.0
2025-02-26,0.6710925616422593,0.3289074383577407,1.0,0.22498706985991565,0.0,0.08530383463626222,0.017270540220030058,0.21504919534173136,0.06913724416705987,0.0,-0.054918656745572586,0.22498706985991565,0.08178470023226807,0.128604962058574,0.03630406696393118,0.20278309627164637,0.06256592130828087,0.009268920782238826,0.007349628545987315,0.0,-0.1805051362523812,0.1340029210496317,0.0
2025-02-27,0.698866708555928,0.30113329144407197,1.0,0.23165492592155595,0.0,0.08080276985882875,0.010750244507657082,0.21539817524394803,0.05830632438977569,0.0,-0.059830643402926015,0.23165492592155595,0.07781655129053724,0.12796684713158457,0.03260938075310023,0.20296918414178322,0.05459912554242485,0.008560137099868205,0.0005819144046932956,0.0,-0.15384699168406535,0.13264796060243142,0.0
2025-02-28,0.6988672206610786,0.30113277933892135,0.9999999999999999,0.23701955185445628,0.0,0.07887370793627592,0.015199297864555816,0.21676683968828828,0.05660553849650507,0.0,-0.05803351101770052,0.23701955185445628,0.07049627839522353,0.12583267899409603,0.026346463869471027,0.20233003493525342,0.04857321463541764,0.007748710875884906,0.00011017310788551463,0.0,-0.1513272670211644,0.13142847571574512,0.0
2025-03-03,0.6988672363620646,0.3011327636379354,1.0,0.2369794767346436,0.0,0.07945644667370694,0.024809075325878414,0.21743770448820493,0.0654562988494501,0.0,-0.050641018672988244,0.2369794767346436,0.06930599453851705,0.12422729052244298,0.0321543702171682,0.20158792172495477,0.05708910415289131,0.009980221166358771,0.008805735249724134,0.0,-0.15232050351255166,0.13033093868968804,0.0
2025-03-04,0.6988672364240637,0.3011327635759363,1.0,0.24363360292582606,0.0,0.07487313061011583,0.008027323499128665,0.2181198898086232,0.05354039505076044,0.0,-0.07335381063703018,0.24363360292582606,0.07246344557372747,0.1220158711274886,0.02437878495180435,0.2003574227827788,0.045189971282206844,0.011656927381410859,0.006385726120465637,0.0,-0.15194519391103928,0.1293431553637567,0.0
