simulation_id,expected_return,volatility,variance,sharpe_ratio
0,0.0015820249580125712,0.01750804974263794,0.00030653180579068436,0.09035986196451185
1,0.001047780243207182,0.006976966338832919,4.8678059293207636e-05,0.1501770529370865
2,0.0012710262614437084,0.010965948838691677,0.00012025203393280332,0.11590663791527882
3,0.0014533471926732218,0.013788915204691565,0.0001901341825221742,0.10539967583372566
4,0.0016442461597858387,0.016513187439237763,0.00027268535940339983,0.09957170085036811
5,0.0011154209338526436,0.007135179199061225,5.091078220271599e-05,0.15632696849427405
6,0.001246038723659685,0.014068993090637,0.00019793656658439164,0.0885663043284122
7,0.001287810116798628,0.011564416286169372,0.00013373572403981943,0.11135971629962878
8,0.0010771928490857356,0.010501308204322386,0.00011027747400216865,0.10257701498965224
9,0.0011118453110736677,0.005991134868745213,3.589369701549472e-05,0.1855817529453369
10,0.0011923234817693897,0.008914520222909159,7.946867080465636e-05,0.13375071814916895
11,0.001166159167287104,0.011292812517008987,0.00012752761454431485,0.10326560947776833
12,0.000957290361573466,0.012612078148358965,0.0001590645152203137,0.07590266650052632
13,0.0013516964905207912,0.01314438785438916,0.00017277493206661326,0.10283449526098959
14,0.0006301042990463912,0.010603907801285815,0.00011244286065817014,0.05942189529127985
15,0.000971151821682327,0.009877268454446355,9.756043212120111e-05,0.09832190206849677
16,0.0014893485053901114,0.01766645343287555,0.00031210357689596025,0.08430376312081851
17,0.0016821688569156408,0.016169919626564336,0.00026146630072955055,0.10403074942636902
18,0.0007576953978818447,0.015410299880826123,0.0002374773424169896,0.04916811507507314
19,0.0010287216539262493,0.01378494784796789,0.00019002478717119456,0.07462644511041067
20,0.0011803233077612605,0.012427605359660232,0.00015444537497545573,0.09497592445223335
21,0.001390980188351771,0.011691082610246855,0.0001366814125996164,0.11897787696176416
22,0.0013677696773852694,0.012176656071313022,0.0001482709530790443,0.11232719963304189
23,0.0013682478702515045,0.011821060480151796,0.0001397374708754066,0.11574662633262617
24,0.0012912068038883062,0.011061175443286431,0.00012234960218716277,0.1167332360388518
25,0.0013896107658849222,0.015343604679425594,0.00023542620455849097,0.09056612151564791
26,0.0014613122897083142,0.015684909365073628,0.00024601638179057436,0.09316676658408313
27,0.0014544868372871355,0.015823201782431108,0.000250373714647531,0.09192114575079793
28,0.0007002514179543317,0.008993825310678234,8.088889371899642e-05,0.07785913043284638
29,0.0008313076750244215,0.007234723715993187,5.2341227246754264e-05,0.11490524139667152
30,0.0012456683570108333,0.010145623851162994,0.00010293368332928741,0.12277888233240998
31,0.0011658932892705306,0.01325352206887514,0.0001756558472301604,0.08796856286288908
32,0.0013233034991144655,0.009004290236617224,8.107724266524026e-05,0.1469636655794439
33,0.0013622444645264666,0.012913973187925906,0.00016677070349846917,0.10548608431370413
34,0.0014169924449050782,0.013624045534768375,0.00018561461673344208,0.10400673142855646
