asset,weight
BTC-USD,0.06214746393981514
DIA,4.8198292281137825e-17
ETH-USD,1.7948628152318624e-17
GLD,0.22396427177718864
QQQ,0.5952787743810151
SPY,1.1779274268903768e-16
TLT,0.0
VIX,0.11860948990198084
