asset,weight
BTC-USD,0.02338841194894026
DIA,0.0986657221811658
ETH-USD,1.9948688322049024e-19
GLD,0.0744450644918147
QQQ,3.9494785969327863e-19
SPY,0.5790049110779262
TLT,0.15520031757096173
VIX,0.06929557272919142
