target_return,expected_return,volatility,variance,sharpe_ratio
-0.00013975779641766582,-0.00013975779641766582,0.0074723443762681205,5.5835930477545806e-05,-0.01870333985964716
-4.9275190526805086e-05,-4.927519052609785e-05,0.006798582784909042,4.6220727883261587e-05,-0.007247862103771837
4.120741536405565e-05,4.12074153640821e-05,0.0062980874865202,3.966590598786233e-05,0.006542845816651222
0.0001316900212549164,0.0001316900212470661,0.005854991079940329,3.428092054618082e-05,0.022491925171030016
0.00022217262714577712,0.00022217262714586657,0.005480727462554034,3.0038373518793975e-05,0.04053706896827407
0.00031265523303663785,0.00031265523303637715,0.0051766710406452145,2.679792306305481e-05,0.0603969675842891
0.0004031378389274986,0.00040313783892906123,0.004928459756507644,2.428971557151539e-05,0.08179793664678896
0.0004936204448183594,0.0004936204448201265,0.00473761497188994,2.244499562187572e-05,0.10419176056918157
0.0005841030507092201,0.000584103050707927,0.0046111658947989255,2.1262850909356774e-05,0.12667144579785225
0.0006745856566000808,0.0006745856566013831,0.004554541410124493,2.0743847456538807e-05,0.1481127507374983
0.0007650682624909416,0.0007650682625315079,0.004570316928384994,2.088779682588245e-05,0.16739938925895426
0.0008555508683818023,0.0008555508684077479,0.0046705401612208985,2.1813945397577338e-05,0.1831802829812523
0.000946033474272663,0.0009460334742611672,0.004820777605024276,2.32398967171036e-05,0.19624084572480568
0.0010365160801635237,0.0010365160802794577,0.005029283444417283,2.529369196428977e-05,0.20609617487955154
0.0011269986860543845,0.001126998685807524,0.005289172972840764,2.7975350736629202e-05,0.21307654175700438
0.0012174812919452452,0.0012174812919527537,0.00560020312607627,3.136227505331442e-05,0.21739948793710465
0.001307963897836106,0.0013079638976437732,0.006027269803411233,3.6327981283112885e-05,0.21700769009933973
0.0013984465037269666,0.0013984465037751518,0.006542113438874822,4.2799248247106555e-05,0.21376066264232657
0.0014889291096178273,0.0014889291096031386,0.007162253202257951,5.1297870933254274e-05,0.20788557281579254
0.001579411715508688,0.0015794117155083253,0.00829647910631131,6.883156556146011e-05,0.19037132442204704
0.0016698943213995488,0.0016698943212961194,0.010001679569686561,0.00010003359421468556,0.1669613898006984
0.0017603769272904095,0.0017603769271305894,0.012037605944494425,0.0001449039568749275,0.14623978681871735
0.0018508595331812705,0.0018508595331909864,0.014263332496945252,0.0002034426539184145,0.12976347102525873
0.0019413421390721312,0.0019413421388773068,0.016602701112571543,0.00027564968423338435,0.11692929516193754
0.002031824744962992,0.0020318247444763827,0.019013812048987458,0.00036152504863422064,0.10686046223879568
0.002122307350853853,0.002122307350637185,0.021472511441709523,0.0004610687476143464,0.09883833832844932
0.0022127899567447136,0.0022127899565648544,0.02401205713677031,0.0005765788879395219,0.09215328549157704
0.0023032725626355743,0.0023032725626355743,0.026656680914792792,0.0007105786373930783,0.08640507683600632
0.002393755168526435,0.002393755168693716,0.029378042084497034,0.0008630693567184788,0.0814810994486564
0.0024842377744172957,0.002484237774417295,0.03215666408797196,0.0010340510452666654,0.07725421292523038
0.0025747203803081565,0.002574720380449749,0.03497890370274125,0.0012235237042456458,0.07360780664626637
0.002665202986199017,0.0026652029863022658,0.03783500142290687,0.0014314873326713648,0.07044278805520653
0.002755685592089878,0.002755685592145867,0.04071783308182051,0.0016579419308789967,0.06767760913525163
0.0028461681979807386,0.0028461681979848894,0.04362209874450401,0.0019028874988752584,0.0652460170395511
0.0029366508038715993,0.0029366508037871352,0.046543786229316556,0.0021663240365603176,0.06309436858700218
0.00302713340976246,0.0030271334096487897,0.049479809460234885,0.0024482515442211497,0.06117916464657339
0.003117616015653321,0.003117616015653321,0.05242776003397273,0.0027486700221798282,0.0594649859851562
0.0032080986215441815,0.0032080986215441815,0.05538573344818619,0.0030675794695935303,0.05792283358575335
0.0032985812274350422,0.0032985812274350414,0.058352205500975245,0.0034049798868280457,0.05652881839024768
0.003389063833325903,0.0033890638333259025,0.06132594291067505,0.0037608712738833754,0.055263134531209394
0.0034795464392167637,0.003479546439216763,0.06430593775662953,0.004135253630759512,0.05410925585729513
0.0035700290451076244,0.003570029045107624,0.06729175145998606,0.004528179814552536,0.05305299635766626
0.003660511650998485,0.003660511650998485,0.07028964069875453,0.004940633589560009,0.052077541080151606
0.003750994256889346,0.0037509942567874066,0.07330065362025641,0.005372985821156809,0.0511727259107391
0.003841476862780207,0.003841476862780207,0.07632323703065702,0.005825236510837855,0.05033168157211659
0.003931959468671067,0.003931959468671067,0.07935606881082392,0.006297385657108221,0.04954831467325357
0.004022442074561928,0.004022442074561929,0.0823980173333451,0.006789433260466241,0.04881721920915825
0.004112924680452788,0.004112924680452788,0.08544810893701438,0.007301379320911876,0.04813359513297729
0.0042034072863436495,0.004203407286319093,0.08850550174027666,0.007833223838298115,0.04749317504186552
0.00429388989223451,0.004293889892232101,0.09156946441391427,0.008384966813051111,0.04689215908070367
