path_id,day,regime,simulated_return,cumulative_return
0,1,normal,0.0025810502925716185,0.0025810502925716072
0,2,normal,-0.0012276593954598791,0.0013502222464698566
0,3,normal,-0.0027250596141368557,-0.0013785168037809825
0,4,bull,-0.001563333998979786,-0.0029396957205732877
0,5,normal,-0.0016065374801601143,-0.004541510469378118
0,6,normal,0.002189474128759074,-0.002361979860297181
0,7,normal,0.00890667790569791,0.006523660651565288
0,8,normal,0.005097618854194914,0.011654534641295955
0,9,bull,-0.0003311438017213381,0.011319531512666181
0,10,bull,-0.003554094376405404,0.007725206452968036
0,11,normal,-0.002392647889578831,0.005314074864472884
0,12,normal,-0.0012074392333084158,0.004100219208684308
0,13,normal,-0.0044793932407965545,-0.0003975405263214604
0,14,normal,0.007260919763115642,0.006860492726930012
0,15,normal,-0.0017800819728962807,0.005068198514605271
0,16,normal,0.002184350069061698,0.007263619303442326
0,17,normal,-0.005622976147150592,0.0015997999982064748
0,18,normal,0.002015837834528569,0.0036188627700990406
0,19,normal,0.00799568143633821,0.01164347948030886
0,20,normal,0.0019686083935637486,0.013635009325307701
0,21,normal,-0.0015327282200706597,0.012081382341663227
0,22,normal,-0.007418243551211776,0.004573516153805635
0,23,normal,-0.000805138706623308,0.0037646951323013766
0,24,normal,0.0029165298265073068,0.006692204804449764
0,25,normal,-0.006109718708741491,0.0005415986068117995
0,26,normal,-0.0011770998712162654,-0.0006361387800548624
0,27,normal,-0.00045205144744551486,-0.0010879026600441044
0,28,normal,-0.00045820694166278254,-0.0015456111171562315
0,29,normal,-0.0013065591206133167,-0.0028501508054674662
0,30,bull,-0.00017686795777268715,-0.003026514662887836
0,31,normal,-0.0024913354833822187,-0.005510310082899372
0,32,bull,-0.0022343378245966595,-0.0077323360132526275
0,33,bull,-0.001504369322933548,-0.00922507304709319
0,34,normal,0.002598166174333828,-0.006650875145506219
0,35,normal,-0.001232906083554943,-0.007875581324633285
0,36,bull,0.003061995946583478,-0.004837700376142839
0,37,normal,-0.004660361608453622,-0.00947551655149026
0,38,bull,0.003675973764981682,-0.0058343745367615
0,39,bull,-0.0014505755463275242,-0.007276486882057953
0,40,bull,-0.006788482273402716,-0.01401557285324917
0,41,normal,0.005122828229043179,-0.008964543996464847
0,42,bull,0.002572604942121253,-0.006415001284532762
0,43,normal,0.00028228070281894095,-0.0061345314127850825
0,44,normal,0.0002570418341281581,-0.005879066409862799
0,45,crisis,-0.003945866825242545,-0.009801735221995234
0,46,normal,-0.0018907320750739852,-0.011673934841893607
0,47,normal,0.003353842903090605,-0.008359244482323613
0,48,normal,-0.0036696464696317124,-0.011998215479952057
0,49,normal,0.0031756878862829164,-0.008860630181225737
0,50,bull,-0.004624370938224599,-0.013444026278745969
0,51,bull,0.005527096374782928,-0.0079912363328708
0,52,normal,0.004007428279914281,-0.004015832359428373
0,53,normal,-0.0022101402249715724,-0.00621709703176565
0,54,normal,0.003898571256067374,-0.0023427635714825534
0,55,bull,0.000828669548015539,-0.0015160354002968779
0,56,bull,0.0017719671412389378,0.0002532453760277775
0,57,normal,-0.0022036457344126376,-0.0019509584214775222
0,58,bull,0.0032645063715787672,0.0013071790339036493
0,59,normal,-0.0014732201006716437,-0.00016796682919595352
0,60,normal,-0.004737865306769799,-0.004905036331752988
1,1,bull,0.0010759178888345986,0.0010759178888346543
1,2,bull,-0.0032876974599837863,-0.002215316863659389
1,3,normal,0.0034541031826156275,0.0012311343859270352
1,4,normal,-0.0010826241549927833,0.00014717737511005247
1,5,normal,-0.005428872792426523,-0.005282494424563855
1,6,normal,-0.0021468680859776613,-0.007418021691847021
1,7,bull,0.00021852554322249673,-0.007201117175844374
1,8,bull,-0.003940905890629645,-0.01111364414137661
