horizon_days,avg_pearson_ic,avg_rank_ic,avg_top_bottom_spread,avg_signal_persistence,observations
1,-0.026920795634528264,-0.03550608125670396,-0.003000798295345026,0.06428934778686114,3496
5,-0.04882897620781289,-0.052282828780025756,-0.013851478759552512,0.06451103214631743,3464
10,-0.054076757561358,-0.0685490011750162,-0.015420577632995655,0.06483111286059935,3424
20,-0.05817732580803597,-0.055004021813666676,-0.00930661653952513,0.06443225505498851,3344
