Date,gross_return,turnover,transaction_cost,net_return,gross_equity_curve,net_equity_curve,gross_running_peak,net_running_peak,gross_drawdown,net_drawdown
2025-02-19,0.0024586757667807734,0.0,0.0,0.0024586757667807734,1.0024586757667808,1.0024586757667808,1.0024586757667808,1.0024586757667808,0.0,0.0
2025-02-20,-0.0008968654628308309,0.000550842421593218,5.50842421593218e-07,-0.0008974163052524241,1.0015596052025704,1.001559053005806,1.0024586757667808,1.0024586757667808,-0.0008968654628309647,-0.0008974163052523076
2025-02-21,-0.007780488345034419,0.0005212629074859056,5.212629074859056e-07,-0.0077810096079419045,0.9937669823674345,0.9937659123914466,1.0024586757667808,1.0024586757667808,-0.008670375756584692,-0.008671443108300814
2025-02-24,-0.007656093747888603,0.0011767736313608116,1.1767736313608115e-06,-0.007657270521519963,0.9861586091868731,0.9861563779652002,1.0024586757667808,1.0024586757667808,-0.01626008829485137,-0.01626231404412859
2025-02-25,-0.002551901872231968,0.0011145085863083007,1.1145085863083006e-06,-0.0025530163808182766,0.9836420291857715,0.9836387045782066,1.0024586757667808,1.0024586757667808,-0.01877049601732106,-0.01877381247080223
2025-02-26,-0.0048043754942784945,0.000833689270181702,8.33689270181702e-07,-0.004805209183548676,0.978916243525609,0.9789121148416735,1.0024586757667808,1.0024586757667808,-0.02348469100051853,-0.02348880955825594
2025-02-27,-0.010333417933057603,0.0008430384050055924,8.430384050055924e-07,-0.010334260971462608,0.9688006928598001,0.9687957815787732,1.0024586757667808,1.0024586757667808,-0.03357543180643907,-0.033580331041834555
2025-02-28,0.006815287273540941,0.0006899997080751074,6.899997080751074e-07,0.0068145972738328665,0.9754033478924452,0.9753977346708208,1.0024586757667808,1.0024586757667808,-0.026988970745992047,-0.026994570200373658
2025-03-03,-0.014980421735666619,0.0011215934003144055,1.1215934003144055e-06,-0.014981543329066933,0.9607913943786353,0.9607847712457761,1.0024586757667808,1.0024586757667808,-0.041565086317672195,-0.04157169320633425
2025-03-04,-0.004960330078011453,0.0013259569842087125,1.3259569842087124e-06,-0.004961656034995662,0.9560255519264044,0.9560176876871925,1.0024586757667808,1.0024586757667808,-0.04631923984782693,-0.04632708479884773
2025-03-05,0.007678937943257023,0.0013907293041473135,1.3907293041473135e-06,0.007677547213952876,0.9633668128118151,0.9633575586217851,1.0024586757667808,1.0024586757667808,-0.03899598447294028,-0.03900521596572282
2025-03-06,-0.009976676671626763,0.001480689267224571,1.4806892672245709e-06,-0.009978157360893988,0.9537556136042161,0.9537450253070502,1.0024586757667808,1.0024586757667808,-0.04858361081598872,-0.0485941731438152
2025-03-07,-0.0013585614717410996,0.0014869027833942818,1.4869027833942817e-06,-0.0013600483745244939,0.9524598779741167,0.9524478859356705,1.0024586757667808,1.0024586757667808,-0.04987616846591714,-0.04988813109214407
2025-03-10,-0.015876780083541167,0.0016483340002277306,1.6483340002277306e-06,-0.015878428417541394,0.9373378819531252,0.9373245103574024,1.0024586757667808,1.0024586757667808,-0.06496107559131525,-0.06497441439125384
2025-03-11,0.0002349243946905442,0.002898615911555375,2.898615911555375e-06,0.00023202577877898882,0.9375580854876636,0.9375419938068866,1.0024586757667808,1.0024586757667808,-0.06474141213798634,-0.06475746435157481
2025-03-12,0.0005965299171740625,0.002091872338680703,2.0918723386807033e-06,0.0005944380448353818,0.9381173669347453,0.9380993044366361,1.0024586757667808,1.0024586757667808,-0.06418350241003279,-0.06420152060723716
2025-03-13,-0.005425832991485019,0.001688254610113812,1.688254610113812e-06,-0.005427521246095133,0.9330272987753457,0.9330077505308593,1.0024586757667808,1.0024586757667808,-0.06926108643663242,-0.06928058673620485
2025-03-14,0.0108215752092158,0.0016260398333423232,1.6260398333423232e-06,0.010819949169382457,0.9431241238612946,0.9431028469662431,1.0024586757667808,1.0024586757667808,-0.05918902528336267,-0.05921024999373303
2025-03-17,0.007062441950322177,0.002026605994275064,2.026605994275064e-06,0.007060415344327902,0.9497848832380136,0.9497615447782429,1.0024586757667808,1.0024586757667808,-0.052544602388200246,-0.052567883607002375
2025-03-18,-0.0033876484222843334,0.0020159513388373768,2.015951338837377e-06,-0.0033896643736231707,0.9465673459768028,0.9465421719064708,1.0024586757667808,1.0024586757667808,-0.05575424817110464,-0.05577936049836618
2025-03-19,0.01160801350863819,0.0020191594948067645,2.0191594948067645e-06,0.011605994349143382,0.9575551125157374,0.9575277350048432,1.0024586757667808,1.0024586757667808,-0.044793430728400474,-0.044820741091965655
2025-03-20,-0.00456989183085557,0.0020206437479959732,2.0206437479959733e-06,-0.004571912474603566,0.9531791892294578,0.9531500020083957,1.0024586757667808,1.0024586757667808,-0.049158621426094395,-0.04918773706124979
2025-03-21,-0.0026946534987240455,0.0018913940238362292,1.8913940238362293e-06,-0.0026965448927478816,0.9506107015922897,0.9505797902384574,1.0024586757667808,1.0024586757667808,-0.05172080947360014,-0.051751645012839353
2025-03-24,0.007416703237774654,0.0018212159370059391,1.8212159370059391e-06,0.007414882021837648,0.9576610990606523,0.9576282272354187,1.0024586757667808,1.0024586757667808,-0.04468770413090872,-0.04472049533320788
2025-03-25,0.001606038794039283,0.0017032104476270293,1.7032104476270294e-06,0.001604335583591656,0.9591991399372861,0.9591645842762244,1.0024586757667808,1.0024586757667808,-0.04315343552332018,-0.04318790643159509
2025-03-26,-0.007307457137758262,0.0016511439742853788,1.6511439742853788e-06,-0.007309108281732548,0.9521898333356198,0.9521539464697465,1.0024586757667808,1.0024586757667808,-0.050145550780644754,-0.050181349628757754
2025-03-27,0.0002322602880563336,0.0016960374637816425,1.6960374637816426e-06,0.00023056425059255194,0.9524109892205945,0.9523734791308631,1.0024586757667808,1.0024586757667808,-0.04992493731265757,-0.049962355403435965
2025-03-28,-0.00835440183979876,0.0015466100361412952,1.5466100361412952e-06,-0.0083559484498349,0.9444541651000055,0.9444154954342557,1.0024586757667808,1.0024586757667808,-0.057862246164319675,-0.057900820987087376
2025-03-31,0.008688637744776505,0.002010988289820957,2.010988289820957e-06,0.008686626756486683,0.9526601852071048,0.9526192803461355,1.0024586757667808,1.0024586757667808,-0.049676352515563904,-0.04971715705140978
2025-04-01,0.006049643316557807,0.001679926406207219,1.6799264062072188e-06,0.0060479633901516,0.9584234395294937,0.9583806868784215,1.0024586757667808,1.0024586757667808,-0.04392723341299287,-0.04396988120696754
2025-04-02,-0.0007902069762747879,0.0014969471594436928,1.4969471594436929e-06,-0.0007917039234342316,0.9576660866413522,0.9576219331284763,1.0024586757667808,1.0024586757667808,-0.0446827287829763,-0.04472677400293723
2025-04-03,-0.01719528711687796,0.001501370299301804,1.501370299301804e-06,-0.01719678848717726,0.9411987433194572,0.941153911293784,1.0024586757667808,1.0024586757667808,-0.06110968354926538,-0.06115440561787222
2025-04-04,-0.023184327182925887,0.005610993297677211,5.610993297677211e-06,-0.023189938176223564,0.9193776837101802,0.9193286102765701,1.0024586757667808,1.0024586757667808,-0.08287722383474005,-0.0829261769086137
2025-04-07,-0.010778285286333268,0.00986506737295927,9.86506737295927e-06,-0.010788150353706227,0.9094683687492636,0.9094107550044427,1.0024586757667808,1.0024586757667808,-0.09276223475884315,-0.09281970719757182
2025-04-08,-0.012103824303378752,0.007668299242043125,7.668299242043125e-06,-0.012111492602620795,0.898460323404442,0.8983964333724626,1.0024586757667808,1.0024586757667808,-0.1037432812707122,-0.10380701460309183
2025-04-09,0.06250429351046219,0.006718149956408313,6.7181499564083136e-06,0.06249757536050578,0.9546179511660181,0.9545440321707676,1.0024586757667808,1.0024586757667808,-0.04772338826253297,-0.047797125960691966
2025-04-10,-0.021665078253647274,0.015769350980882186,1.5769350980882186e-05,-0.021680847604628156,0.9339360785516699,0.9338487084773658,1.0024586757667808,1.0024586757667808,-0.0683545355749432,-0.06844169136142719
2025-04-11,0.015973128939727306,0.01417577003482252,1.4175770034822521e-05,0.015958953169692484,0.9488539599558391,0.9487519562835338,1.0024586757667808,1.0024586757667808,-0.05347324244556961,-0.05357499593902637
2025-04-14,0.002943177308271592,0.012749790093475492,1.2749790093475492e-05,0.0029304275181781165,0.9516466053996447,0.9515322051241524,1.0024586757667808,1.0024586757667808,-0.050687446371063594,-0.05080156606323427
2025-04-15,-0.0014010451398824217,0.0114793106937526,1.14793106937526e-05,-0.0014125244505761743,0.950313305548264,0.9501881426189038,1.0024586757667808,1.0024586757667808,-0.05201747611055474,-0.0521423320596186
2025-04-16,-0.0018289742855127828,0.010351457359513042,1.0351457359513043e-05,-0.001839325742872296,0.9485752069492356,0.9484404371076129,1.0024586757667808,1.0024586757667808,-0.05375131176986403,-0.05388575106884019
2025-04-17,-0.0056583830342943,0.009169293715392254,9.169293715392255e-06,-0.0056675523280096925,0.9432078050914818,0.9430651013003052,1.0024586757667808,1.0024586757667808,-0.05910554929356859,-0.05924790308293304
2025-04-21,-0.005171208932011827,0.008317761291342905,8.317761291342905e-06,-0.00517952669330317,0.9383302804650495,0.9381804704345976,1.0024586757667808,1.0024586757667808,-0.06397111108114206,-0.06412055368069591
2025-04-22,0.018800030961348843,0.007229653824440567,7.229653824440567e-06,0.018792801307524403,0.9559709187897635,0.9558115096060749,1.0024586757667808,1.0024586757667808,-0.046373738988750635,-0.04653275719822125
2025-04-23,0.004561498829091855,0.006942079175216508,6.942079175216509e-06,0.004554556749916639,0.9603315790164688,0.9601648073687992,1.0024586757667808,1.0024586757667808,-0.042023773915756624,-0.04219013653169401
2025-04-24,0.012357980211642606,0.006042954899803207,6.042954899803208e-06,0.012351937256742803,0.97219933766657,0.9720247028255512,1.0024586757667808,1.0024586757667808,-0.030185122670583375,-0.030359329194244
2025-04-25,0.0019627252255908795,0.005837126902005968,5.837126902005968e-06,0.0019568880986888734,0.9741074978309109,0.9739268463981421,1.0024586757667808,1.0024586757667808,-0.02828164254669563,-0.028461850905539543
2025-04-28,0.006005474622603155,0.005201485272381758,5.201485272381759e-06,0.006000273137330773,0.979957475688822,0.9797706734923102,1.0024586757667808,1.0024586757667808,-0.022446012610692123,-0.022632356647635965
2025-04-29,0.001835125034237906,0.004602262856397275,4.602262856397275e-06,0.0018305227713815088,0.9817558201849471,0.9815641660208696,1.0024586757667808,1.0024586757667808,-0.02065207881611486,-0.02084326292046801
2025-04-30,-0.002561703598491759,0.004115653275020399,4.115653275020399e-06,-0.0025658192517667793,0.9792408527675391,0.9790456497868488,1.0024586757667808,1.0024586757667808,-0.023160877909987,-0.02335560212696386
2025-05-01,0.0008039933214920735,0.003733432602000028,3.733432602000028e-06,0.0008002598888900735,0.9800281558732964,0.9798291407497656,1.0024586757667808,1.0024586757667808,-0.022375505779654525,-0.022574032789636878
2025-05-02,0.0032512479352948386,0.003567792239838101,3.567792239838101e-06,0.0032476801430550003,0.9832144703916103,0.9830113123937653,1.0024586757667808,1.0024586757667808,-0.019197006161327024,-0.019399665884621387
2025-05-05,0.0040014718813401046,0.003188513902583283,3.188513902583283e-06,0.003998283367437521,0.987148775448209,0.9869416701741122,1.0024586757667808,1.0024586757667808,-0.01527235056034737,-0.01547894787862425
2025-05-06,0.004414756390600777,0.0031798224729356964,3.1798224729356964e-06,0.004411576568127841,0.9915067968130927,0.9912956389203612,1.0024586757667808,1.0024586757667808,-0.010925017876982301,-0.011135657874256966
2025-05-07,-0.0004438942583941699,0.0029849700878337056,2.9849700878337055e-06,-0.0004468792284820036,0.9910666726388285,0.9908526494900429,1.0024586757667808,1.0024586757667808,-0.011364062582668089,-0.011577560808539555
2025-05-08,0.011970803479725413,0.003017861320572378,3.017861320572378e-06,0.01196778561840484,1.0029305370122934,1.002710961578568,1.0029305370122934,1.002710961578568,0.0,0.0
2025-05-09,0.0033915211567192276,0.0028360516173436233,2.8360516173436235e-06,0.003388685105101884,1.0063319971472904,1.0061088332787917,1.0063319971472904,1.0061088332787917,0.0,0.0
2025-05-12,0.0029648986742952044,0.0025936933302241963,2.5936933302241965e-06,0.00296230498096498,1.0093156695515333,1.0090892344870064,1.0093156695515333,1.0090892344870064,0.0,0.0
2025-05-13,0.006022148537633582,0.0035520556558891886,3.5520556558891885e-06,0.006018596481977693,1.0153939184349337,1.0151625354036915,1.0153939184349337,1.0151625354036915,0.0,0.0
2025-05-14,-0.0063750538428127956,0.003377743085383786,3.3777430853837857e-06,-0.006378431585898179,1.0089207275332464,1.0086873906230522,1.0153939184349337,1.0151625354036915,-0.006375053842812783,-0.0063784315858980145
2025-05-15,0.00526854826213145,0.0033834328689531304,3.3834328689531305e-06,0.0052651648292624965,1.01423627507892,1.0139982959958813,1.0153939184349337,1.0151625354036915,-0.0011400928595258764,-0.00114685025028749
2025-05-16,0.00017360328704847032,0.003278262658622206,3.278262658622206e-06,0.0001703250243898481,1.0144123498301176,1.014171005280378,1.0153939184349337,1.0151625354036915,-0.0009666874963452088,-0.000976720563194533
2025-05-19,0.0035494211435710293,0.0033167245270717093,3.3167245270717095e-06,0.0035461044190439575,1.018012926472904,1.017767361563869,1.018012926472904,1.017767361563869,0.0,0.0
