Date,regime,portfolio_return,cumulative_return,running_max,drawdown,rolling_volatility,rolling_sharpe,SPY,benchmark_return,excess_return,portfolio_cumulative_return,benchmark_cumulative_return,rolling_portfolio_volatility,rolling_benchmark_volatility,rolling_alpha,rolling_beta
2024-09-13,normal,0.003034553405134,0.0030345534051339,1.003034553405134,0.0,,,0.0052227385698044,0.0052227385698044,-0.0021881851646704,0.003034553405133922,0.005222738569804486,,,,
2024-09-16,normal,0.005409980649904,0.0084609509302406,1.0084609509302407,0.0,,,0.0014767910499231,0.0014767910499231,0.0039331895999809,0.008460950930240685,0.0067072425133036795,,,,
2024-09-17,normal,0.0003110436005426,0.0087746262554246,1.0087746262554247,0.0,,,0.0004089012702179,0.0004089012702179,-9.785766967529999e-05,0.008774626255424689,0.0071188863835049965,,,,
2024-09-18,normal,-0.0034489538680184,0.0052954091062422,1.0087746262554247,-0.0034489538680183562,,,-0.002965840428997,-0.002965840428997,-0.00048311343902140026,0.005295409106242266,0.00413193247346233,,,,
2024-09-19,normal,0.0054386332365551,0.0107628421307637,1.0107628421307637,0.0,,,0.017064154230888,0.017064154230888,-0.011625520994332901,0.010762842130763728,0.021266594637349145,,,,
2024-09-20,bull,-0.001425392683137,0.0093221081712038,1.0107628421307637,-0.0014253926831369057,,,-0.0017286360158116,-0.0017286360158116,0.0003032433326746,0.009322108171203825,0.01950119642011372,,,,
2024-09-23,normal,0.0002958206467129,0.0096206864899848,1.0107628421307637,-0.0011299936970092794,,,0.0024990436022265,0.0024990436022265,-0.0022032229555136,0.00962068648998482,0.02204897436248965,,,,
2024-09-24,bull,0.0003236953908758,0.0099474960527345,1.0107628421307637,-0.0008066640798847224,,,0.0028611139345868,0.0028611139345868,-0.002537418543711,0.009947496052734595,0.024973172924868337,,,,
2024-09-25,normal,-0.0039160283476587,0.0059925130285449,1.0107628421307637,-0.004719533508139584,,,-0.0022054529497933,-0.0022054529497933,-0.0017105753978653997,0.005992513028545199,0.022712642817182216,,,,
2024-09-26,bull,0.004035475524887,0.0100521711930912,1.0107628421307637,-0.0007031035452136347,,,0.0039647481065621,0.0039647481065621,7.072741832490036e-05,0.01005217119309143,0.026767440831348743,,,,
2024-09-27,normal,0.0057720125625664,0.0158822050140652,1.0158822050140655,0.0,,,-0.001450471568814,-0.001450471568814,0.0072224841313804,0.015882205014065454,0.02527814385063909,,,,
2024-09-30,bull,-0.0006060250289795,0.0152665549713317,1.0158822050140655,-0.000606025028979551,,,0.0040073380164611,0.0040073380164611,-0.0046133630454406,0.015266554971332003,0.029386779933938456,,,,
2024-10-01,normal,0.0039176412422849,0.0192440050990001,1.0192440050990004,0.0,,,-0.0089584326386634,-0.0089584326386634,0.0128760738809483,0.019244005099000372,0.02016508780676962,,,,
2024-10-02,bull,-0.0023965545221332,0.0168013312694228,1.0192440050990004,-0.0023965545221331652,,,0.0004219725084146,0.0004219725084146,-0.0028185270305478,0.016801331269423292,0.020595569427868554,,,,
2024-10-03,normal,0.0004315805323902,0.0172401629293073,1.0192440050990004,-0.0019660082960193392,,,-0.0018280675094037,-0.0018280675094037,0.0022596480417939,0.017240162929307745,0.01872985182715614,,,,
2024-10-04,bull,-0.0004989336447293,0.0167326275872519,1.0192440050990004,-0.0024639610330640105,,,0.0090872694961003,0.0090872694961003,-0.0095862031408296,0.016732627587252358,0.02798732453443198,,,,
2024-10-07,normal,0.0009359780469064,0.0176842670062471,1.0192440050990004,-0.0015302891995928602,,,-0.0090403495564238,-0.0090403495564238,0.0099763276033302,0.01768426700624759,0.018693959781067804,,,,
2024-10-08,bull,0.0008032201118247,0.0185016914769944,1.0192440050990004,-0.0007282982468302945,,,0.0094576497334462,0.0094576497334462,-0.008654429621621499,0.01850169147699443,0.028328410438254403,,,,
2024-10-09,bull,0.0016787079607986,0.0202114583745638,1.0202114583745636,0.0,,,0.0069263522125815,0.0069263522125815,-0.0052476442517829,0.020211458374563618,0.035450975199153856,,,,
2024-10-10,normal,-0.0018269028157143,0.0183476311886354,1.0202114583745636,-0.001826902815714182,0.0029027169179622,,-0.0017502763905918,-0.0017502763905918,-7.662642512249991e-05,0.01834763118863525,0.03363864980364761,,,,
2024-10-11,bull,0.0035612449543311,0.0219742165519611,1.021974216551961,0.0,0.0029252744702779,,0.0059882686872427,0.0059882686872427,-0.0024270237329116,0.021974216551960968,0.03982835576419075,,,,
2024-10-14,bull,0.0029310956758673,0.0249697207589447,1.0249697207589443,0.0,0.0027745359409634,,0.0081784513340124,0.0081784513340124,-0.005247355658145101,0.024969720758944325,0.0483325413675344,,,,
