Date,portfolio_return,cumulative_return,rolling_volatility,rolling_sharpe,running_max,drawdown
2024-11-11,-0.0015710198415775502,-0.0015710198415775922,,,0.9984289801584224,0.0
2024-11-12,-0.007275012581703797,-0.008834603234167848,,,0.9984289801584224,-0.007275012581703821
2024-11-13,-0.004444179217584953,-0.013239519891663942,,,0.9984289801584224,-0.011686860339565563
2024-11-14,-0.0027502656781155472,-0.0159533733726267,,,0.9984289801584224,-0.014404984046804237
2024-11-15,-0.001000569658044092,-0.016937980569330713,,,0.9984289801584224,-0.015391140514886548
2024-11-18,0.0026361193352250714,-0.014346511772184045,,,0.9984289801584224,-0.012795594062763871
2024-11-19,0.005120733313249147,-0.009299243119695544,,,0.9984289801584224,-0.007740383574294629
2024-11-20,0.004208213830956371,-0.005130162492252954,,,0.9984289801584224,-0.0035647429325524893
2024-11-21,0.005508992376645849,0.0003505678583319849,,,1.000350567858332,0.0
2024-11-22,0.0007731589472740495,0.0011239978502823877,,,1.0011239978502824,0.0
2024-11-25,0.00026581769101080826,0.0013901143198065125,,,1.0013901143198065,0.0
2024-11-26,0.0010990749563518833,0.0024907171159938013,,,1.0024907171159938,0.0
2024-11-27,-0.0009656152998402746,0.0015226967415986614,,,1.0024907171159938,-0.0009656152998404055
2024-11-29,0.004156619507340371,0.005685645519919014,,,1.005685645519919,0.0
2024-12-02,-0.0017842160727961375,0.0038912850270020893,,,1.005685645519919,-0.0017842160727961076
2024-12-03,-0.0010639788768943984,0.0028231659050350633,,,1.005685645519919,-0.002846296581477059
2024-12-04,0.00663786946860564,0.009479775180406547,,,1.0094797751804065,0.0
2024-12-05,-0.002618358420005229,0.006836595311237925,,,1.0094797751804065,-0.00261835842000524
2024-12-06,-0.002960580047359638,0.0038557749762080373,,,1.0094797751804065,-0.005571186607669754
2024-12-09,0.002965436543723072,0.0068326455759499805,0.0036664166794489195,0.09461881835950377,1.0094797751804065,-0.002622271064304904
2024-12-10,-0.0018921508801386928,0.004927566299470998,0.003675948841802568,0.09000545876278684,1.0094797751804065,-0.0045094602119413185
2024-12-11,0.0013361743827936222,0.006270324770123459,0.0032134029204391188,0.2369496851069635,1.0094797751804065,-0.003179311254363215
2024-12-12,-0.004717593838025523,0.001523150086599978,0.0032372079999193003,0.2309842552954453,1.0094797751804065,-0.007881906393205962
2024-12-13,-0.0029651980254389995,-0.001446564380468307,0.003249763992033842,0.22678491839353548,1.0094797751804065,-0.010823733005371206
2024-12-16,0.00688156425754809,0.005425045251342908,0.003496528458296229,0.3234934796047428,1.0094797751804065,-0.004016652962006151
2024-12-17,0.0017080558566786664,0.007142367388335957,0.003481630375956261,0.3115497242541178,1.0094797751804065,-0.0023154577729433967
2024-12-18,0.022601744451693294,0.029905541802520474,0.0059015054570941555,0.33190709637513605,1.0299055418025205,0.0
2024-12-19,-0.009819207571878456,0.019792685508133623,0.006429984772177844,0.19554952537446263,1.0299055418025205,-0.009819207571878374
2024-12-20,-0.004710885785554267,0.014988558641761074,0.0064802171911934065,0.11517925097768801,1.0299055418025205,-0.014483836192056954
2024-12-23,-0.0030995090214020315,0.011842592447631084,0.00653698546440797,0.08455780830937652,1.0299055418025205,-0.017538452432517282
2024-12-24,-0.0009742703156286562,0.010856784245720563,0.006545725717088666,0.07497239950146983,1.0299055418025205,-0.01849563555455891
2024-12-26,0.002776043181857252,0.013662966329460069,0.006564641637727789,0.08752910005956846,1.0299055418025205,-0.015770937055676892
