Date,regime,portfolio_return,cumulative_return,running_max,drawdown,rolling_volatility,rolling_sharpe
2024-09-13,normal,0.003034553405134019,0.003034553405133922,1.003034553405134,0.0,,
2024-09-16,normal,0.005409980649904009,0.008460950930240685,1.0084609509302407,0.0,,
2024-09-17,normal,0.0003110436005426206,0.008774626255424689,1.0087746262554247,0.0,,
2024-09-18,normal,-0.0034489538680184317,0.005295409106242266,1.0087746262554247,-0.0034489538680183562,,
2024-09-19,normal,0.005438633236555101,0.010762842130763728,1.0107628421307637,0.0,,
2024-09-20,bull,-0.0014253926831370538,0.009322108171203825,1.0107628421307637,-0.0014253926831369057,,
2024-09-23,normal,0.0002958206467129237,0.00962068648998482,1.0107628421307637,-0.0011299936970092794,,
2024-09-24,bull,0.00032369539087580366,0.009947496052734595,1.0107628421307637,-0.0008066640798847224,,
2024-09-25,normal,-0.003916028347658759,0.005992513028544977,1.0107628421307637,-0.004719533508139806,,
2024-09-26,bull,0.004035475524887098,0.010052171193091208,1.0107628421307637,-0.0007031035452138568,,
2024-09-27,normal,0.005772012562566488,0.01588220501406523,1.0158822050140652,0.0,,
2024-09-30,bull,-0.0006060250289795807,0.01526655497133178,1.0158822050140652,-0.000606025028979551,,
2024-10-01,normal,0.003917641242284916,0.01924400509900015,1.0192440050990001,0.0,,
2024-10-02,bull,-0.00239655452213329,0.016801331269422848,1.0192440050990001,-0.0023965545221333873,,
2024-10-03,normal,0.0004315805323902803,0.0172401629293073,1.0192440050990001,-0.0019660082960195613,,
2024-10-04,bull,-0.0004989336447293073,0.016732627587251914,1.0192440050990001,-0.0024639610330642325,,
2024-10-07,normal,0.0009359780469064289,0.017684267006247145,1.0192440050990001,-0.0015302891995930823,,
2024-10-08,bull,0.000803220111824785,0.01850169147699443,1.0192440050990001,-0.0007282982468300725,,
2024-10-09,bull,0.0016787079607986622,0.02021145837456384,1.0202114583745638,0.0,,
2024-10-10,normal,-0.0018269028157143013,0.01834763118863547,1.0202114583745638,-0.001826902815714182,0.002902716917962214,0.3146974458301317
2024-10-11,bull,0.003561244954331192,0.02197421655196119,1.0219742165519612,0.0,0.002925274470277969,0.3212731615646224
2024-10-14,bull,0.00293109567586737,0.02496972075894477,1.0249697207589448,0.0,0.0027745359409634724,0.29405563530935297
2024-10-15,normal,0.00022985178028522672,0.02520531187399966,1.0252053118739997,0.0,0.0027753727277857396,0.29250425705647765
2024-10-16,bull,0.0002471185398188903,0.0254586591136845,1.0254586591136845,0.0,0.002593848129059114,0.38422139948076
2024-10-17,bull,-0.0032136892984414456,0.022163153594896734,1.0254586591136845,-0.003213689298441458,0.0025348607725440386,0.22249578262705863
2024-10-18,bull,-0.0015899779892755987,0.020537936679232205,1.0254586591136845,-0.004798557592468278,0.0025419164519968735,0.21864076834401505
2024-10-21,normal,-0.004998803979662863,0.015436467579963198,1.0254586591136845,-0.00977337452334115,0.0028298175066710884,0.10284597297387739
2024-10-22,bull,-0.0003249712203985702,0.015106479951856544,1.0254586591136845,-0.010095169678293492,0.0028331388049889737,0.09127756246640642
2024-10-23,normal,-0.004251200992260113,0.010791058277035637,1.0254586591136845,-0.014303454075200062,0.002859996335436747,0.08456072793582155
2024-10-24,normal,0.002385491200494275,0.01320229145209395,1.0254586591136845,-0.011952083638538724,0.0027670948134254415,0.057585361739526705
2024-10-25,normal,0.0012676419551115431,0.01448666918575392,1.0254586591136845,-0.010699592646098322,0.002451543767789901,-0.026870568431034643
2024-10-28,normal,0.0003942417183331996,0.014886622153439832,1.0254586591136845,-0.010309569153555298,0.0024501470146397033,-0.006473504289198096
2024-10-29,bull,-0.00019477147056158085,0.014688951193589705,1.0254586591136845,-0.010502332614172105,0.0022684931158666504,-0.09763383071415954
2024-10-30,normal,0.0015019846134065728,0.016212998385676025,1.0254586591136845,-0.00901612234275695,0.002239062575094249,-0.011859747185783736
2024-10-31,normal,-0.005475517916688989,0.010648705905843103,1.0254586591136845,-0.014442272320019045,0.0025442530135270087,-0.12652422413031916
2024-11-01,normal,-0.0033547232101187444,0.007258259234864228,1.0254586591136845,-0.01774854570397899,0.0026332898025408775,-0.1764709362216084
2024-11-04,normal,0.0024268474447683803,0.00970272136751027,1.0254586591136845,-0.015364771272000644,0.002695396650059197,-0.14474888024199956
2024-11-05,normal,0.006039200507291471,0.015800518554606624,1.0254586591136845,-0.00941836169916932,0.0030485527130680924,-0.042104119302431846
2024-11-06,bull,-0.002270530595732626,0.013494112398067193,1.0254586591136845,-0.011667507616502482,0.00305324160671666,-0.10671233951502072
2024-11-07,bull,0.0014228463407810988,0.014936158787295817,1.0254586591136845,-0.010261262346239697,0.0030556240929543376,-0.05345261464234906
2024-11-08,bull,0.0034106272034260658,0.01839772766019654,1.0254586591136845,-0.006885632483313198,0.0030461322347239968,-0.05609145352591803
2024-11-11,normal,-0.00043153002866669533,0.017958258459585208,1.0254586591136845,-0.007314191154797034,0.002957416672821506,-0.11462479163651655
2024-11-12,bull,-0.007188493881067098,0.010640671747466746,1.0254586591136845,-0.014450107017502933,0.0033247115859922883,-0.2135254546478992
2024-11-13,bull,-0.004955050793052954,0.005632895885433031,1.0254586591136845,-0.019333556796318874,0.003447139303337793,-0.2813982651285617
2024-11-14,normal,-0.0018023001733506365,0.0038204435428517147,1.0254586591136845,-0.02110101209690396,0.0034130681735705373,-0.2635310862895087
2024-11-15,normal,-0.002496601933360601,0.00131430348275563,1.0254586591136845,-0.023544933202667706,0.003428707141862826,-0.2755501480514726
2024-11-18,normal,0.0014306750855345312,0.0027468589095378526,1.0254586591136845,-0.02214794326645675,0.00332854794318753,-0.18726087709846048
2024-11-19,normal,0.005917988266296168,0.008681103054629657,1.0254586591136845,-0.016361026268534196,0.0036364833124422373,-0.08556586301556944
2024-11-20,normal,0.002252480268222362,0.010953137336189078,1.0254586591136845,-0.014145398889149452,0.0035554970522235644,0.003944660858181814
2024-11-21,bull,0.004321766522547271,0.015322240760992756,1.0254586591136845,-0.00988476547796946,0.0036486115063923703,0.030378404486678542
2024-11-22,bull,-0.003996215998751404,0.011264793778575477,1.0254586591136845,-0.013841479818773927,0.0037492402752138006,-0.040635939644738404
2024-11-25,bull,0.000973431163569956,0.012249190443460511,1.0254586591136845,-0.012881522383009658,0.003755915351358952,-0.03285335736619475
2024-11-26,bull,-0.00020233010681036797,0.012044381956639372,1.0254586591136845,-0.013081246170020377,0.003755923291825152,-0.03295391078864819
2024-11-27,normal,-0.00025252252905219683,0.011788817949794694,1.0254586591136845,-0.013330465389706503,0.0037363915311532853,-0.056604806120377035
2024-11-29,bull,0.0029213177598444327,0.014744574592883364,1.0254586591136845,-0.010448090155152023,0.003582347756400938,0.05815852613517254
2024-12-02,bull,-0.0009947869566577648,0.01373511992573917,1.0254586591136845,-0.011432483488001521,0.003496650309844311,0.0933295724111171
2024-12-03,bull,-0.0013659760827309526,0.012350381997696225,1.0254586591136845,-0.012782843071721617,0.003479543510157822,0.039286676977866766
2024-12-04,normal,0.0075994326414263345,0.020043670535210056,1.0254586591136845,-0.005280552785184578,0.003632951451252015,0.05910106741083777
2024-12-05,normal,-0.0006478494576961443,0.01938283579642741,1.0254586591136845,-0.005924981239622595,0.0035924212458464965,0.08235263775500222
2024-12-06,bull,-0.0035396971205840858,0.015774529307786,1.0254586591136845,-0.009443705721173146,0.0036807767403145768,0.012964163767844516
2024-12-09,normal,4.218209952914706e-06,0.01577881405801551,1.0254586591136845,-0.009439527346753684,0.0035947826590449626,-0.03410561050495292
2024-12-10,normal,-0.003125651954360232,0.01260384302265738,1.0254586591136845,-0.012535674624014281,0.0036569094041829942,-0.0703622444706173
2024-12-11,normal,0.00013287731848009732,0.012738395106000944,1.0254586591136845,-0.012404463012363531,0.0032728349987087273,0.033231191464356435
2024-12-12,normal,-0.005528771322026879,0.00713919611042324,1.0254586591136845,-0.017864652895022592,0.0033217041582226923,0.02410635511486508
2024-12-13,normal,-0.0034348197820101324,0.0036798544763854135,1.0254586591136845,-0.02123811081387006,0.003389756567294403,-0.0004577911060950318
2024-12-16,normal,0.006443115412729004,0.010146679616207743,1.0254586591136845,-0.014931835000263294,0.0036247038001349244,0.12288840453103092
2024-12-17,normal,0.0016394796267633766,0.01180279451748123,1.0254586591136845,-0.013316835812772987,0.0036279901649532145,0.12565477667535704
2024-12-18,normal,0.014005231881922889,0.02597332727347612,1.0259733272734761,0.0,0.004591549254868348,0.1873521173331264
2024-12-19,normal,-0.010387289127208814,0.015316245686282093,1.0259733272734761,-0.010387289127208765,0.005217099756444905,0.0437499790348844
2024-12-20,normal,-0.0022315854926253705,0.01305048068198178,1.0259733272734761,-0.012595694496110199,0.005151857270393514,-0.019297816413239452
2024-12-23,normal,-0.0030421650695801675,0.009968613895929623,1.0259733272734761,-0.01559954138386721,0.0051181835357880885,-0.010104571078993527
2024-12-24,normal,0.0008964059997240365,0.010873955820958958,1.0259733272734761,-0.01471711890663252,0.005117400466870361,-0.010858698256027817
2024-12-26,normal,0.001761964694612695,0.012655080041819033,1.0259733272734761,-0.012981085255939662,0.005133260622301539,0.008307864276532904
2024-12-27,normal,-0.004922006639513311,0.007670785014316284,1.0259733272734761,-0.01783919890763519,0.005252204444602215,-0.036332891263024004
2024-12-30,normal,-0.0010914362743140796,0.006570976566985021,1.0259733272734761,-0.018911164833156913,0.005203480187327942,-0.07523147212862785
2024-12-31,normal,-0.003646398207115017,0.0029006179626971385,1.0259733272734761,-0.02248860540272979,0.005253204301883566,-0.0997574065451428
2025-01-02,crisis,0.0020888438514387424,0.0049955207521326095,1.0259733272734761,-0.020446736736414062,0.005280791964324407,-0.06652506723849914
2025-01-03,normal,0.0021690515283058227,0.007175407822360702,1.0259733272734761,-0.018322035233675038,0.0049816084235940064,-0.12502469949372158
2025-01-06,normal,0.002068205214368361,0.00925845325260255,1.0259733272734761,-0.016291723748114717,0.0050177799246213465,-0.09705913170130898
2025-01-07,crisis,0.0028016707518641274,0.012086063142151993,1.0259733272734761,-0.013535697042173167,0.00501508362359722,-0.03388836192679334
2025-01-08,normal,0.001094273339970265,0.013193561938803944,1.0259733272734761,-0.01245623545461405,0.005022993094041717,-0.022984346238834483
