Date,gross_return,transaction_cost,net_return,turnover,gross_cumulative_return,net_cumulative_return,running_max,net_drawdown
2024-11-11,-0.0015710198415775502,0.0009429312199257873,-0.0025139510615033375,0.9429312199257872,-0.0015710198415775922,-0.0025139510615033167,0.9974860489384967,0.0
2024-11-12,-0.007275012581703797,0.0,-0.007275012581703797,0.0,-0.008834603234167848,-0.009770674617604946,0.9974860489384967,-0.007275012581703821
2024-11-13,-0.004444179217584953,0.0,-0.004444179217584953,0.0,-0.013239519891663942,-0.014171431206112639,0.9974860489384967,-0.011686860339565563
2024-11-14,-0.0027502656781155472,0.0,-0.0027502656781155472,0.0,-0.0159533733726267,-0.016882721683372237,0.9974860489384967,-0.014404984046804348
2024-11-15,-0.001000569658044092,0.0,-0.001000569658044092,0.0,-0.016937980569330713,-0.01786639900235476,0.9974860489384967,-0.015391140514886548
2024-11-18,0.0026361193352250714,0.0,0.0026361193352250714,0.0,-0.014346511772184045,-0.015277377626990551,0.9974860489384967,-0.012795594062763871
2024-11-19,0.005120733313249147,0.0,0.005120733313249147,0.0,-0.009299243119695544,-0.010234875690294909,0.9974860489384967,-0.007740383574294629
2024-11-20,0.004208213830956371,0.0,0.004208213830956371,0.0,-0.005130162492252954,-0.0060697324047767065,0.9974860489384967,-0.0035647429325527114
2024-11-21,0.005508992376645849,0.0,0.005508992376645849,0.0,0.0003505678583319849,-0.0005941781376770372,0.999405821862323,0.0
2024-11-22,0.0007731589472740495,0.0,0.0007731589472740495,0.0,0.0011239978502823877,0.00017852141545371403,1.0001785214154537,0.0
2024-11-25,0.00026581769101080826,0.0,0.00026581769101080826,0.0,0.0013901143198065125,0.0004443865606149622,1.000444386560615,0.0
2024-11-26,0.0010990749563518833,0.0,0.0010990749563518833,0.0,0.0024907171159938013,0.0015439499311067362,1.0015439499311067,0.0
2024-11-27,-0.0009656152998402746,0.0,-0.0009656152998402746,0.0,0.0015226967415986614,0.0005768437695907735,1.0015439499311067,-0.0009656152998402945
2024-11-29,0.004156619507340371,0.0,0.004156619507340371,0.0,0.005685645519919014,0.0047358609969965215,1.0047358609969965,0.0
2024-12-02,-0.0017842160727961375,0.0,-0.0017842160727961375,0.0,0.0038912850270020893,0.0029431951248910515,1.0047358609969965,-0.0017842160727961076
2024-12-03,-0.0010639788768943984,0.0,-0.0010639788768943984,0.0,0.0028231659050350633,0.0018760847505532308,1.0047358609969965,-0.00284629658147717
2024-12-04,0.00663786946860564,0.0,0.00663786946860564,0.0,0.009479775180406547,0.008526407424845006,1.008526407424845,0.0
2024-12-05,-0.002618358420005229,0.0,-0.002618358420005229,0.0,0.006836595311237925,0.005885723814166521,1.008526407424845,-0.00261835842000524
2024-12-06,-0.002960580047359638,0.0,-0.002960580047359638,0.0,0.0038557749762080373,0.002907718610318355,1.008526407424845,-0.005571186607669865
2024-12-09,0.002965436543723072,0.0,0.002965436543723072,0.0,0.0068326455759499805,0.005881777809067401,1.008526407424845,-0.002622271064304904
2024-12-10,-0.0018921508801386928,0.0004215440228122527,-0.0023136949029509456,0.4215440228122527,0.004927566299470998,0.0035544742667792395,1.008526407424845,-0.004929898832060298
2024-12-11,0.0013361743827936222,0.0,0.0013361743827936222,0.0,0.006270324770123459,0.004895398047032318,1.008526407424845,-0.00360031165379604
2024-12-12,-0.004717593838025523,0.0,-0.004717593838025523,0.0,0.001523150086599978,0.00015470970934550188,1.008526407424845,-0.008300920683748547
2024-12-13,-0.0029651980254389995,0.0,-0.0029651980254389995,0.0,-0.001446564380468307,-0.002810947061018254,1.008526407424845,-0.011241504835566851
2024-12-16,0.00688156425754809,0.0,0.00688156425754809,0.0,0.005425045251342908,0.004051273483705042,1.008526407424845,-0.004437299715896126
