Date,regime,portfolio_return,BTC-USD_weight,DIA_weight,ETH-USD_weight,GLD_weight,QQQ_weight,SPY_weight,TLT_weight,VIX_weight,cumulative_return,running_max,drawdown,rolling_volatility,rolling_sharpe,turnover,transaction_cost,net_return,net_cumulative_return,net_running_max,net_drawdown
2024-09-13,normal,0.0031012975378243,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0031012975378243,1.0031012975378244,0.0,,,0.0,0.0,0.0031012975378243,0.003101297537824399,1.0031012975378244,0.0
2024-09-16,normal,0.0054457972345478,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0085639838099271,1.0085639838099272,0.0,,,0.0023444996967235,2.3444996967235e-06,0.005443452734851076,0.008561632039239209,1.0085616320392392,0.0
2024-09-17,normal,0.0009143400670449,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0094861542705031,1.0094861542705031,0.0,,,0.0045314571675029,4.5314571675028994e-06,0.0009098086098773972,0.00947923009566054,1.0094792300956605,0.0
2024-09-18,normal,-0.0025397499249096,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0069223118859973,1.0094861542705031,-0.0025397499249095,,,0.0034540899919545,3.4540899919545e-06,-0.0025432040149015542,0.0069119184647215,1.0094792300956605,-0.002543204014901601
2024-09-19,normal,0.0049036375669805,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0118598939615923,1.0118598939615924,0.0,,,0.007443387491890099,7.443387491890099e-06,0.004896194179488609,0.01184195473916616,1.0118419547391662,0.0
2024-09-20,bull,-0.0018850370979279,0.0075383852841523,0.1161995205887926,3.2872980407744937e-19,0.0360310206766052,3.127765645837452e-17,0.5755082572749165,0.1983090459127428,0.0664137702627905,0.0099525005235692,1.0118598939615924,-0.001885037097928,,,0.0067886746649084,6.7886746649084e-06,-0.0018918257725928083,0.00992772605139991,1.0118419547391662,-0.0018918257725928367
2024-09-23,normal,0.0001818786222844,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0101361892929372,1.0118598939615924,-0.0017035013235938,,,0.0020669157202123,2.0669157202123e-06,0.00017981170656418768,0.010109322879327642,1.0118419547391662,-0.0017123542384493984
2024-09-24,bull,0.0004171278818805,0.0075383852841523,0.1161995205887926,3.2872980407744937e-19,0.0360310206766052,3.127765645837452e-17,0.5755082572749165,0.1983090459127428,0.0664137702627905,0.0105575452619879,1.0118598939615924,-0.0012870840196121,,,0.0002352492595961,2.352492595961e-07,0.0004168926326209039,0.01053043001417775,1.0118419547391662,-0.0012961754736948716
2024-09-25,normal,-0.0038761952399304,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0066404269153677,1.0118598939615924,-0.0051582902705923,,,0.0042933231218109,4.2933231218109e-06,-0.003880488563052211,0.006609078237891586,1.0118419547391662,-0.005171634242645662
2024-09-26,bull,0.0036952939536608,0.0075383852841523,0.1161995205887926,3.2872980407744937e-19,0.0360310206766052,3.127765645837452e-17,0.5755082572749165,0.1983090459127428,0.0664137702627905,0.0103602591984588,1.0118598939615924,-0.0014820577157794,,,0.0075714891935912,7.5714891935912005e-06,0.003687722464467209,0.010321173148646112,1.0118419547391662,-0.0015029833299530226
2024-09-27,normal,0.0067902535912172,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0172208615769042,1.0172208615769045,0.0,,,0.0030949596375563996,3.0949596375563995e-06,0.006787158631579643,0.017178383219649707,1.0171783832196497,0.0
2024-09-30,bull,-4.631701357466064e-05,0.0075383852841523,0.1161995205887926,3.2872980407744937e-19,0.0360310206766052,3.127765645837452e-17,0.5755082572749165,0.1983090459127428,0.0664137702627905,0.0171737469444501,1.0172208615769045,-4.631701357471485e-05,,,0.006836570604791861,6.836570604791861e-06,-5.3153584179452504e-05,0.01712431654283164,1.0171783832196497,-5.315358417956606e-05
2024-10-01,normal,0.0053125179905461,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0225775007746038,1.022577500774604,0.0,,,0.00535883500412076,5.35883500412076e-06,0.005307159155541979,0.022522357171696372,1.0225223571716964,0.0
2024-10-02,bull,-0.0025746699167256,0.0075383852841523,0.1161995205887926,3.2872980407744937e-19,0.0360310206766052,3.127765645837452e-17,0.5755082572749165,0.1983090459127428,0.0664137702627905,0.0199447012458389,1.022577500774604,-0.0025746699167257,,,0.007887187907271699,7.887187907271698e-06,-0.0025825571046328715,0.019881634793536662,1.0225223571716964,-0.0025825571046328433
2024-10-03,normal,0.0016553407898806,0.0051134032351946,0.1300353513127006,6.733581058426668e-19,0.0307809716077229,0.0217178986542709,0.5440133740133689,0.2063455296653473,0.0619934715113946,0.0216330573132339,1.022577500774604,-0.0009235910829785,,,0.0042300107066062,4.2300107066062e-06,0.001651110779173994,0.021565572354225848,1.0225223571716964,-0.0009357104133321803
