Date,rolling_min_variance,dynamic_allocation,regime_aware,black_litterman,bayesian_robust,meta_return,equity_curve,running_peak,drawdown
2025-02-19,0.0015146483593441,0.0015153871037989,0.0016142751144482,0.0005529443014032,0.0022397424817241,0.0012953239541966918,1.0012953239541966,1.0012953239541966,0.0
2025-02-20,-0.0029081151361087,-0.0011430416098176,-0.0009985412053259,0.0006875368785064,-0.0014347510518797,-0.0011728906875680416,1.0001209139932252,1.0012953239541966,-0.0011728906875680956
2025-02-21,-0.0049320295414447,0.0004562297815549,-0.0003974603498917,0.0091228733335715,-0.0126144807419111,-0.0010956500827291236,0.9990251314310694,1.0012953239541966,-0.0022672556925183995
2025-02-24,0.0008146705480848,0.0005112459102431,0.0002602891386997,0.0034824575047282,-0.0061357595111532,0.000242417455397243,0.9992673125613089,1.0012953239541966,-0.0020253878594768127
2025-02-25,-0.0013470513705555,0.0019709791262726,0.0025749716295322,-0.000947934530444,-0.0072804400165953,-0.0001499274131359007,0.9991174949981053,1.0012953239541966,-0.002175011611450395
2025-02-26,-0.0007714758924729,-0.0002488239246793,0.0006496655997133,-0.0019617063993652,-0.0043060251764259,-0.0007578366110815307,0.9983603271816237,1.0012953239541966,-0.002931199919103178
2025-02-27,-0.007367172525842,-0.0047115978237384,-0.001176297751424,0.0039708167127786,-0.0110503049651251,-0.0034940772199801243,0.9948719791050865,1.0012953239541966,-0.006415035300218697
2025-02-28,0.0079243006451415,0.0085473024058555,0.0099007448672867,-0.0058962872542001,0.0064454925580721,0.005569860623764006,1.00041327736719,1.0012953239541966,-0.0008809055289734635
2025-03-03,-0.0028942423561414,-0.0001993341204212,0.0013178752555061,0.0225742998068402,-0.0131006039118335,0.0012972218076013709,1.0017110352872047,1.0017110352872047,0.0
2025-03-04,-0.0076104758151484,-0.0083269645678409,-0.0049054152081945,0.0029879715180456,-0.0030741891930281,-0.004500376264777524,0.9972029587198324,1.0017110352872047,-0.004500376264777506
2025-03-05,0.0049442552302425,0.0020666824871101,0.0020091112478669,-0.009120909686893,0.0093841388752332,0.0016867410469418418,0.9988849818824371,1.0017110352872047,-0.002821226187208148
2025-03-06,-0.0066633605149413,-0.0034211574197707,-0.0009641800001103,0.0166032485107453,-0.0109303089138246,-0.0013354551450645122,0.9975510157940546,1.0017110352872047,-0.004152913711245487
2025-03-07,0.0013963363031515,-0.000641272637947,-3.553707486344355e-05,-0.0107979571885633,0.000678258672638,-0.0011781323265350476,0.9963757686949797,1.0017110352872047,-0.005326153355888041
2025-03-10,-0.0105073433748636,-0.0026403663414588,-0.0040829528507714,0.0296059201591845,-0.0180507262410615,-0.0016432694515337873,0.9947384548320347,1.0017110352872047,-0.006960670502317967
2025-03-11,-0.0042076195692114,-0.0089747953060505,-0.0092052794923528,-0.004179810072606,0.0026505048066137,-0.005139659301172263,0.9896258380804236,1.0017110352872047,-0.01206455432860054
