Date,gross_portfolio_return,gross_exposure,cash_weight,portfolio_turnover,transaction_cost,net_portfolio_return,gross_equity_curve,net_equity_curve,gross_running_peak,net_running_peak,gross_drawdown,net_drawdown
2024-08-03,0.0,1.0,0.4921845507071667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-08-04,0.0,0.9999999999999999,0.4890582811799528,0.003126269527213843,3.126269527213843e-06,-3.126269527213843e-06,1.0,0.9999968737304727,1.0,1.0,0.0,-3.126269527253811e-06
2024-08-05,0.0,0.9999999999999999,0.499216048301909,0.0101577671219562,1.0157767121956201e-05,-1.0157767121956201e-05,1.0,0.9999867159951067,1.0,1.0,0.0,-1.3284004893310275e-05
2024-08-06,0.0,1.0,0.5146329133072617,0.015416865005352581,1.5416865005352583e-05,-1.5416865005352583e-05,1.0,0.999971299334899,1.0,1.0,0.0,-2.8700665100966916e-05
2024-08-07,0.0,1.0,0.4946837190521883,0.019949194255073355,1.9949194255073356e-05,-1.9949194255073356e-05,1.0,0.9999513507131991,1.0,1.0,0.0,-4.864928680092806e-05
2024-08-08,0.0,1.0,0.4422207579245173,0.05246296112767097,5.2462961127670975e-05,-5.2462961127670975e-05,1.0,0.999898890304357,1.0,1.0,0.0,-0.0001011096956430313
2024-08-09,0.0,0.9999999999999999,0.4850219282810162,0.042801170356498934,4.280117035649893e-05,-4.280117035649893e-05,1.0,0.9998560934616137,1.0,1.0,0.0,-0.00014390653838625145
2024-08-10,0.0,0.9999999999999998,0.4907406271256319,0.005718698844615698,5.7186988446156985e-06,-5.7186988446156985e-06,1.0,0.9998503755857273,1.0,1.0,0.0,-0.00014962441427268658
2024-08-11,0.0,1.0,0.4853104790128324,0.006733678118905031,6.733678118905031e-06,-6.733678118905031e-06,1.0,0.9998436429151311,1.0,1.0,0.0,-0.00015635708486894107
2024-08-12,0.0,0.9999999999999998,0.4667138680880889,0.01859661092474342,1.859661092474342e-05,-1.859661092474342e-05,1.0,0.9998250492119182,1.0,1.0,0.0,-0.00017495078808182907
2024-08-13,0.0,1.0,0.5074133936030332,0.040699525514944136,4.069952551494414e-05,-4.069952551494414e-05,1.0,0.9997843568068172,1.0,1.0,0.0,-0.00021564319318279068
