asset,avg_weight,max_weight,min_weight,avg_signal,avg_risk_adjusted_score
CASH,0.31878052120947553,0.96,0.0443370084363369,0.0,0.0
SPY,0.15168628464730138,0.35,0.0,0.08132392232277333,0.04607603836231057
DIA,0.14060767371533578,0.35,0.0,0.07103343969994702,0.040917507953930926
QQQ,0.13923801492453594,0.35,0.0,0.08014095366154093,0.03701324787117739
TLT,0.11911031610921112,0.35,0.0,0.047765016187391145,0.02068157905400313
GLD,0.10434728190319327,0.35,0.0,0.151442123399542,0.11217608195051038
VIX,0.010134864758058916,0.05,0.0,-0.05607907958017481,-0.21756311208135992
BTC-USD,0.008551245350129586,0.04,0.0,-0.014230754836727075,-0.10485985265989553
ETH-USD,0.007543797382758492,0.04,0.0,-0.07743232545863973,-0.1946976667387892
