Date,Close,High,Low,Open,Volume,daily_return,log_return,volatility_7d,volatility_21d,volatility_63d,momentum_7d,momentum_21d,momentum_63d,rolling_max,drawdown
2024-07-20,3519.29541015625,3539.904296875,3482.489013671875,3505.721435546875,10360198325,0.003868103950767088,0.003860642072703653,0.03075049641539805,0.03097820211580389,0.0334012633350436,0.10767242111954034,0.043382459171740884,0.12691415670550654,3892.0068359375,-0.09576330193969762
2024-07-21,3536.60546875,3546.619140625,3415.44384765625,3519.426513671875,13845913681,0.0049186148294897425,0.004906557962795613,0.03083528967806174,0.030787594325777767,0.03331576581879458,0.09017239038548897,0.030212542192602942,0.15129759187313518,3892.0068359375,-0.09131570990724935
2024-07-22,3440.419921875,3560.075439453125,3425.795654296875,3536.627197265625,18723199034,-0.027197137968854812,-0.02757382571951999,0.017518140849435874,0.03143354530050453,0.023020974126681873,-0.014079974208729085,2.2779465185029935e-05,-0.06098372296089227,3892.0068359375,-0.11602932191503268
2024-07-23,3481.995849609375,3539.53173828125,3395.4208984375,3440.768310546875,24468405650,0.012084550339342526,0.01201211514150231,0.017405165379569057,0.031482893090870594,0.022644141496864296,0.0111753366677938,0.01921378731056511,-0.08110095821635488,3892.0068359375,-0.10534693375721227
2024-07-24,3336.33935546875,3487.653076171875,3304.039306640625,3482.15185546875,16040945448,-0.04183132330756956,-0.04273144480608137,0.02347950653587677,0.03184495113498198,0.023167745859694208,-0.01546677924804385,0.013186670281789103,-0.1072665395145066,3892.0068359375,-0.14277145541932268
2024-07-25,3174.42724609375,3341.4384765625,3088.764404296875,3336.3623046875,25293745810,-0.04852986825503891,-0.04974698344282357,0.02827363836574775,0.029424377765584767,0.023855535516480307,-0.0735003781898973,0.03925500438722618,-0.1595212088406336,3892.0068359375,-0.1843726437522818
2024-07-26,3275.951416015625,3285.760986328125,3172.777099609375,3174.051025390625,15993893521,0.031981885880926875,0.03148111446436277,0.03015132916296806,0.029469745425078565,0.02420417257038479,-0.06554501587451922,0.09872314132551985,-0.12100645873669325,3892.0068359375,-0.15828734272340517
2024-07-27,3247.60791015625,3327.426513671875,3195.356689453125,3275.8916015625,15198233287,-0.008651992126869734,-0.00868963790870826,0.029610403448454815,0.029053460499823915,0.024198930544155277,-0.077199401680218,0.05806713430264865,-0.13379488128865813,3892.0068359375,-0.1655698340072489
2024-07-28,3271.464599609375,3283.152099609375,3201.76318359375,3247.50732421875,8959236446,0.007345926636807887,0.007319076729185486,0.029841640978390153,0.026828067007621307,0.02405891548677225,-0.07497044029464162,0.1167743860412358,-0.1449157660363084,3892.0068359375,-0.15944017122432674
2024-07-29,3320.539306640625,3396.625732421875,3257.715576171875,3271.453369140625,18334852719,0.015000836945357587,0.014889437070117674,0.03021011726732827,0.02631755045667462,0.024030862479594083,-0.034844762545451435,0.09997819603928138,-0.14683107029004505,3892.0068359375,-0.14683107029004505
2024-07-30,3278.667724609375,3365.322509765625,3235.760009765625,3320.63525390625,14045773047,-0.012609873928464688,-0.012690053134925989,0.029359134001588252,0.026475494029324222,0.024025917661333013,-0.058394131923738546,0.07004975745957509,-0.1462372748604709,3892.0068359375,-0.15758942293337075
2024-07-31,3231.295654296875,3347.636474609375,3216.07177734375,3278.6865234375,16135380637,-0.01444857310697567,-0.014553970196310946,0.025728676322055267,0.026673593003861896,0.023968974369846026,-0.0314847172244912,0.041607931193399894,-0.1413428382528592,3892.0068359375,-0.1697610537422075
2024-08-01,3201.564453125,3241.77734375,3078.5439453125,3231.248779296875,20217639556,-0.009201015429318393,-0.009243606225469832,0.017399451762608886,0.02678576380142259,0.023984011854776045,0.00854869396192437,0.032652529282921394,-0.1455316367344024,3892.0068359375,-0.17740009509674648
2024-08-02,2986.01318359375,3214.527099609375,2965.73388671875,3201.599365234375,21400241741,-0.06732685619396284,-0.06970046769621462,0.02640966804965636,0.030630416488733513,0.0253340142908201,-0.08850504650478375,-0.04726803024323867,-0.205853178113805,3892.0068359375,-0.23278316059933535
2024-08-03,2903.3857421875,3015.296142578125,2861.177490234375,2985.950927734375,17844091431,-0.02767149249716494,-0.028061560938994944,0.02688096311364888,0.030908125074432163,0.02541640195809354,-0.1059925266508508,-0.08618063001707577,-0.23859579279234344,3892.0068359375,-0.2540131956145094
2024-08-04,2686.39892578125,2931.4716796875,2639.566650390625,2903.088623046875,21139601426,-0.07473578631090383,-0.07767594583538323,0.03253288702588093,0.03396939151339512,0.026930575339232498,-0.17883906611674294,-0.17190708312650116,-0.28948087211160656,3892.0068359375,-0.3097651060178175
2024-08-05,2417.206298828125,2695.88671875,2122.546142578125,2686.027587890625,67668132244,-0.10020575290203382,-0.10558915612966013,0.03647755149552026,0.03388965745200832,0.029477121381592676,-0.27204406404886017,-0.30730197167773676,-0.35821653152595456,3892.0068359375,-0.3789306132485576
2024-08-06,2458.723876953125,2553.5810546875,2416.527099609375,2417.269775390625,26041995921,0.01717585219975959,0.01703001480287719,0.042029256080080644,0.034688194928098534,0.02953437806643805,-0.2500844600695056,-0.285983943855036,-0.355091503525376,3892.0068359375,-0.3682632172559194
2024-08-07,2336.58935546875,2551.560791015625,2312.168701171875,2458.989013671875,24264218606,-0.049673947786168404,-0.050950140414945395,0.0406166914387336,0.03549022038017011,0.02991355856015683,-0.27688778575193906,-0.31048685441916724,-0.3953334508886238,3892.0068359375,-0.3996440772165508
2024-08-08,2683.352783203125,2721.95458984375,2322.529541015625,2336.9150390625,23468291180,0.14840580649003665,0.13837472540841295,0.08398673127706661,0.0504201650701559,0.035770905477781376,-0.1618620138713922,-0.21682711680349553,-0.2960046727146184,3892.0068359375,-0.3105477723148028
2024-08-09,2599.5986328125,2706.451171875,2555.2294921875,2683.719970703125,17907141655,-0.03121250061300085,-0.031709990019111754,0.08181990743838936,0.05000443528960086,0.035724236111734003,-0.1294081864421608,-0.2584725502089559,-0.29332408173396474,3892.0068359375,-0.33206730039406185
2024-08-10,2610.02294921875,2642.92578125,2580.661865234375,2599.582275390625,9361014219,0.004009971491242048,0.004001952984403117,0.08199729474649542,0.050006834360102635,0.035735169144500756,-0.10104161796555544,-0.25836775688492997,-0.29093766993821324,3892.0068359375,-0.32938890931057363
2024-08-11,2553.252197265625,2718.797607421875,2544.1748046875,2609.9697265625,13595441987,-0.021751054706288353,-0.021991096048381804,0.07760309573191096,0.049868275074947205,0.03576656685894599,-0.049563274924592116,-0.27805003418488117,-0.31103117373289635,3892.0068359375,-0.34397540783080305
2024-08-12,2724.431884765625,2749.135009765625,2513.39404296875,2553.49658203125,21653090666,0.0670437834865365,0.06489200567317864,0.0685322416533113,0.05279827779940476,0.03689989222956164,0.1270994478569929,-0.20811065316677024,-0.2569834291849423,3892.0068359375,-0.2999930371115681
2024-08-13,2703.671875,2737.990478515625,2613.80126953125,2724.303466796875,16383053029,-0.007619940833063277,-0.00764912091036673,0.06928749198119952,0.052565372123247585,0.036512202890828835,0.09962403681962728,-0.2235281166968337,-0.22715368840131756,3892.0068359375,-0.3053270487515102
2024-08-14,2662.914794921875,2775.281005859375,2636.705322265625,2703.5869140625,15825365408,-0.015074713930707695,-0.015189492393236552,0.06495351269592901,0.052094990132466185,0.036441384815352765,0.13965887445706526,-0.20184534269364218,-0.25190988542402115,3892.0068359375,-0.3157990447669816
2024-08-15,2570.087646484375,2675.314453125,2518.670654296875,2662.885498046875,16345801912,-0.03485922591835067,-0.03548130840522891,0.034728159373748006,0.05166543378374948,0.03655071650328542,-0.04221030400018633,-0.19037752411967768,-0.25918728944666136,3892.0068359375,-0.33964976043900075
2024-08-16,2593.1865234375,2629.383544921875,2553.071533203125,2570.085205078125,13275561555,0.008987583355268836,0.008947435404047986,0.033078775851677504,0.050998028662440256,0.03657672796324012,-0.00246657668382555,-0.20841728275950366,-0.25488969143457463,3892.0068359375,-0.33371480761727446
2024-08-17,2614.546875,2626.6728515625,2588.78515625,2593.1669921875,6676568717,0.008237105726658145,0.008203365923541336,0.03320030233698111,0.051150983579146096,0.03642933447807543,0.0017332896565542821,-0.19493148577957242,-0.26671980557213526,3892.0068359375,-0.3282265460435112
2024-08-18,2613.357177734375,2684.031005859375,2596.735107421875,2614.109619140625,9207267415,-0.00045503000041835495,-0.00045513355798471977,0.031742897957978425,0.05105414391157872,0.03634569005867549,0.02354055762024565,-0.20116599212278818,-0.27819048204739794,3892.0068359375,-0.328532223118546
2024-08-19,2637.306396484375,2648.284423828125,2566.401123046875,2612.718505859375,11968963282,0.009164158253623267,0.00912242214579242,0.01628116966876779,0.050930242499261924,0.03623577496743946,-0.03197932338423837,-0.20575962127292924,-0.2489257163930213,3892.0068359375,-0.32237878614899573
2024-08-20,2573.10693359375,2695.913818359375,2556.74755859375,2637.306396484375,13249483464,-0.024342815448445854,-0.02464399960665874,0.01795335577978483,0.05102795586679141,0.03632421845778143,-0.04829171121449416,-0.2151974064708514,-0.2613828187071151,3892.0068359375,-0.3388739943017226
2024-08-21,2631.3955078125,2662.953369140625,2538.65771484375,2573.10888671875,12766015263,0.02265299333570292,0.02240022447604025,0.020565400667985557,0.05151579924396829,0.036335125279301564,-0.011836385891685897,-0.18565312823871338,-0.2607084380523965,3892.0068359375,-0.32389751130057975
2024-08-22,2622.951416015625,2644.82373046875,2587.110595703125,2630.8642578125,10723280428,-0.003208978571182075,-0.0032141383843607603,0.014638040929599602,0.05152830207306931,0.03631524982331575,0.02056885865490332,-0.1807282175889351,-0.25295172685408085,3892.0068359375,-0.326067109698739
2024-08-23,2764.447021484375,2799.329833984375,2622.5810546875,2622.916015625,16857181970,0.05394518732020126,0.052540444326856055,0.02434475898794887,0.05136732479931067,0.03703691830053678,0.06604249115865901,-0.0742013341825618,-0.2137691931992607,3892.0068359375,-0.2897116736901929
2024-08-24,2769.3896484375,2820.0205078125,2737.776611328125,2765.4814453125,11765811307,0.0017879260896347393,0.0017863296523750458,0.024518728595959015,0.05104498902450318,0.03704016392945883,0.05922355989027728,-0.04615166762134859,-0.20757154365746788,3892.0068359375,-0.28844173066042056
2024-08-25,2749.15771484375,2793.012939453125,2736.0888671875,2769.09814453125,9375535539,-0.007305556877908126,-0.0073323731435487914,0.025066618436105192,0.048219695137254985,0.03696653167279837,0.05196401711422616,0.023361678885517323,-0.19582629953764408,3892.0068359375,-0.29364006006902665
2024-08-26,2681.340576171875,2763.004150390625,2668.88671875,2749.24755859375,12282035835,-0.024668333251928187,-0.024977694805671382,0.027810038805399243,0.042702242554003934,0.03700628320730965,0.016696649181983325,0.10927254222024985,-0.19966107129453858,3892.0068359375,-0.3110647824630559
2024-08-27,2458.7265625,2700.15283203125,2401.175048828125,2681.622802734375,18028996056,-0.08302340092495786,-0.08667332605342254,0.04235760011638729,0.046768775072091116,0.038294653158312465,-0.044452241607386145,1.0922523265843864e-06,-0.2757862968743292,3892.0068359375,-0.3682625272399487
2024-08-28,2528.41552734375,2553.820068359375,2422.293701171875,2458.90478515625,20359545410,0.02834351973360194,0.02794927437788038,0.04304128040452964,0.04562677479285172,0.038513342059342454,-0.03913512057119761,0.082096655720028,-0.2496119409516977,3892.0068359375,-0.3503568637143183
2024-08-29,2528.792724609375,2595.97705078125,2507.50244140625,2528.3623046875,13946434277,0.00014918325787260933,0.00014917213115699394,0.04308164944986263,0.03159411986097072,0.03837125046552958,-0.03589799293701024,-0.05759960433128408,-0.2659102617502048,3892.0068359375,-0.35025994783479264
2024-08-30,2525.822021484375,2539.915283203125,2432.83447265625,2528.732177734375,15526218255,-0.0011747515310726042,-0.001175442092530881,0.03490184337914434,0.030893940898578897,0.038314735886129034,-0.08631925232984561,-0.028380000818936546,-0.25130570348418446,3892.0068359375,-0.35102323095587284
2024-08-31,2513.393798828125,2532.389892578125,2493.70556640625,2525.859130859375,6646876013,-0.004920466505769938,-0.004932611857998876,0.034541739827690446,0.03088425739735859,0.0383120625203031,-0.0924376422630917,-0.037022337454752585,-0.25484203595973154,3892.0068359375,-0.3542164994109773
2024-09-01,2427.90234375,2515.46728515625,2401.88916015625,2513.42431640625,11800443265,-0.034014349489517204,-0.03460629942396255,0.035246395028804285,0.03140114870632297,0.03839420245123897,-0.11685592622030005,-0.04909419196813658,-0.2927524803511301,3892.0068359375,-0.3761824050945761
