Date,spy_vol_20d,qqq_vol_20d,btc_vol_20d,vix_level,vix_ma_20d,vix_stress_ratio,spy_momentum_20d,qqq_momentum_20d,tlt_momentum_20d,gld_momentum_20d,btc_momentum_20d,momentum_breadth,spy_tlt_momentum_spread_20d,equity_bond_corr_20d,equity_gold_corr_20d,risk_asset_dispersion_20d,yield_spread_proxy,vix_term_structure_proxy,inflation_pressure_proxy,liquidity_stress_proxy,realized_vol_regime_score,volatility_regime_label
2026-03-29,0.13341363461192518,0.1594967122185455,0.3512502482991517,31.049999237060547,26.62050018310547,1.1663942834840584,-0.06258320542909501,-0.07317134238310707,-0.04023322454621914,-0.12238373589329732,-0.03578034619362336,0.0,-0.022349980882875875,0.6660638681578448,0.28897879267702625,0.018115026974637998,-0.022349980882875875,1.1663942834840584,-0.08215051134707818,1.2289774889131535,1.2003689329017595,high_volatility
2026-03-30,0.1332822899745278,0.15941905159357722,0.34335401130201804,30.61000061035156,26.904500198364257,1.1377279036840309,-0.06421349555012745,-0.08027057170701257,-0.016991381558126406,-0.13242372393399227,-0.04626939776190453,0.0,-0.04722211399200105,0.636756945275336,0.2852239739736593,0.017974122652819384,-0.04722211399200105,1.1377279036840309,-0.11543234237586586,1.2019413992341583,1.1822947898825822,normal_volatility
2026-03-31,0.17600517691023815,0.20873272456995468,0.35442508015806556,25.25,26.955500221252443,0.9367290457511978,-0.035801897254418735,-0.04900896081047035,-0.005164056802419159,-0.09648492909392059,-0.02808309384641494,0.0,-0.030637840451999576,0.5191304845163115,0.48945897916053255,0.01990130878754666,-0.030637840451999576,0.9367290457511978,-0.09132087229150143,0.9725309430056165,1.2510733847423496,high_volatility
2026-04-01,0.17144308781334078,0.20738649839161816,0.35388355235868857,24.540000915527344,26.81800022125244,0.9150570778234295,-0.013558111936914474,-0.020448809676681612,-0.004200688213091164,-0.0622429687600089,-0.03425716680503277,0.0,-0.00935742372382331,0.5122398939717702,0.48952258271557597,0.019825387601226686,-0.00935742372382331,0.9150570778234295,-0.058042280546917735,0.928615189760344,1.21196321229049,high_volatility
2026-04-02,0.17046750130813978,0.20665441240880755,0.3568312544114085,23.8700008392334,26.65200023651123,0.8956176132151349,-0.007049638466572694,-0.013478386266221665,0.0068958930870941515,-0.06820152965355153,-0.0574861915614131,0.2,-0.013945531553666846,0.4998370955328283,0.4722428629608185,0.02013025760491933,-0.013945531553666846,0.8956176132151349,-0.07509742274064568,0.9026672516817076,1.1905319523439892,normal_volatility
2026-04-03,0.17046750130813978,0.20665441240880755,0.3563207273635841,23.8700008392334,26.48600025177002,0.901230862052801,-0.007049638466572694,-0.013478386266221665,0.0068958930870941515,-0.06820152965355153,-0.060149490887581036,0.2,-0.013945531553666846,0.4998370955328283,0.4722428629608185,0.020121270625828712,-0.013945531553666846,0.901230862052801,-0.07509742274064568,0.9082805005193737,1.1814113288193844,normal_volatility
2026-04-04,0.17046750130813978,0.20665441240880755,0.34554496575722365,23.8700008392334,26.32000026702881,0.9069149163017093,-0.007049638466572694,-0.013478386266221665,0.0068958930870941515,-0.06820152965355153,-0.07555165448853285,0.2,-0.013945531553666846,0.4998370955328283,0.4722428629608185,0.019654566467048037,-0.013945531553666846,0.9069149163017093,-0.07509742274064568,0.913964554768282,1.1694226407888315,normal_volatility
2026-04-05,0.1659400534195593,0.20193006247988587,0.3416284437011371,23.8700008392334,26.338000297546387,0.9062951085719707,-0.017052958898540638,-0.024421843200459925,-0.0008396063582638558,-0.06737178182811199,-0.07853462752208018,0.0,-0.016213352540276782,0.4702070184178845,0.47970124694670097,0.018073134029128784,-0.016213352540276782,0.9062951085719707,-0.06653217546984813,0.9233480674705113,1.1333665713295595,normal_volatility
2026-04-06,0.16668133480762884,0.20242083276522888,0.3401360975121919,24.170000076293945,26.428000259399415,0.9145603087277712,-0.014997869581917955,-0.0233179429514222,-0.0051890048624008145,-0.06884838085130407,-0.06848591487894251,0.0,-0.00980886471951714,0.45667988421963757,0.4759907039088298,0.018052166628624064,-0.00980886471951714,0.9145603087277712,-0.06365937598890326,0.9295581783096891,1.1361909926722846,normal_volatility
2026-04-07,0.15916629023917103,0.19666607677301656,0.3572666214706642,25.780000686645508,26.462500286102294,0.9742088014330519,-0.0006193930540260295,-0.009359326474477347,0.0003011256494072079,-0.029073150514230206,0.009756745868219507,0.4,-0.0009205187034332374,0.42843737691936573,0.4235036544390175,0.01856676531670947,-0.0009205187034332374,0.9742088014330519,-0.029374276163637414,0.9748281944870779,1.1399337558557916,normal_volatility
