,count,mean,std,min,25%,50%,75%,max
spy_vol_20d,653.0,0.12165015462671738,0.0780581183068316,0.04190089413277845,0.08239151100690638,0.10509724858477133,0.1340069484648627,0.528331662818062
qqq_vol_20d,653.0,0.1601207163530548,0.08597898735419983,0.04607213599681614,0.11474788920469241,0.14866230657349025,0.17883176753995286,0.5839382536625202
btc_vol_20d,653.0,0.36935671188361274,0.13303099468738258,0.13230025415394903,0.27918193496996657,0.3475949947073519,0.41425481416280846,0.8013892105333152
vix_level,653.0,18.872343088182156,4.8348586324943055,12.770000457763672,15.859999656677246,17.440000534057617,20.459999084472656,52.33000183105469
vix_ma_20d,653.0,18.866939563955686,3.9322369952323086,13.60350022315979,16.2580002784729,17.952499771118163,19.879500007629396,36.44600038528442
vix_stress_ratio,653.0,1.004550773802018,0.1650769622470983,0.7049633285448457,0.9090363472002735,0.9850534683384398,1.067135426501775,2.0667113084191664
spy_momentum_20d,653.0,0.01003757217655976,0.034794119884045516,-0.12194114944476442,-0.007049638466572694,0.011493254226546679,0.026836541859478258,0.12369265561517273
qqq_momentum_20d,653.0,0.013190674795769694,0.04664805884752294,-0.13352242283542815,-0.009359326474477347,0.014572206678342026,0.035596910582758934,0.1622303172892119
tlt_momentum_20d,653.0,-0.00011191209118212553,0.02541627857990065,-0.07364539261365499,-0.016601569239355407,-0.0005761483240480647,0.020760106582150772,0.06648028632321723
gld_momentum_20d,653.0,0.021007631709069684,0.04572285965671734,-0.15636733697385208,-0.0030745264921449023,0.02215038351985643,0.05059795756579821,0.20187613136568405
btc_momentum_20d,653.0,0.01123533421141465,0.10582245009299525,-0.34360616869826854,-0.04907729870190791,0.0031054568760100487,0.06989137943542323,0.44538624009821337
momentum_breadth,653.0,0.6091883614088821,0.2769932498777405,0.0,0.4,0.6,0.8,1.0
spy_tlt_momentum_spread_20d,653.0,0.010149484267741886,0.042265826422262114,-0.13672012615004892,-0.014700814178506105,0.007680339551096038,0.039395848485665574,0.13242149236950418
equity_bond_corr_20d,653.0,0.09046973245466533,0.38874028034092367,-0.7876942540499149,-0.24841373357186838,0.13408040779492467,0.42020890663230953,0.7975486895463657
equity_gold_corr_20d,653.0,0.13787022459190948,0.39594537687009146,-0.706134126795881,-0.18160084218352077,0.1887334313796622,0.4715923175784035,0.9207541539333883
risk_asset_dispersion_20d,653.0,0.019362880037250067,0.006110953682399743,0.009019248791174564,0.015252896417205605,0.018366740142764404,0.021397201668697546,0.04031690374645895
yield_spread_proxy,653.0,0.010149484267741886,0.042265826422262114,-0.13672012615004892,-0.014700814178506105,0.007680339551096038,0.039395848485665574,0.13242149236950418
vix_term_structure_proxy,653.0,1.004550773802018,0.1650769622470983,0.7049633285448457,0.9090363472002735,0.9850534683384398,1.067135426501775,2.0667113084191664
inflation_pressure_proxy,653.0,0.02111954380025181,0.04644786456455169,-0.12732754454542072,-0.011328142011441056,0.023277122121841076,0.04920353537289346,0.19999320784442653
liquidity_stress_proxy,653.0,0.9945132016254585,0.18679632208823865,0.6322789541303027,0.8895046490645159,0.9715492508659773,1.0678873386815937,2.163708388284128
realized_vol_regime_score,653.0,1.0291436850364613,0.2927590546790742,0.5323432991354496,0.7933077316422914,1.0149178807278911,1.1628790283846784,2.2839962304810224
