date,SPY,QQQ,DIA,TLT,GLD,VIX,BTC-USD,ETH-USD
2005-01-03,81.38373565673828,33.6529426574707,66.99728393554688,44.396461486816406,43.02000045776367,14.079999923706055,,
2005-01-04,80.3892822265625,33.03952407836914,66.3604736328125,43.93121337890625,42.7400016784668,13.979999542236328,,
2005-01-05,79.83451080322266,32.83506774902344,65.99225616455078,44.166316986083984,42.66999816894531,14.09000015258789,,
2005-01-06,80.24043273925781,32.67314910888672,66.1982650756836,44.19636535644531,42.150001525878906,13.579999923706055,,
2005-01-07,80.12540435791016,32.843563079833984,66.07331085205078,44.29642868041992,41.84000015258789,13.489999771118164,,
2005-01-10,80.50430297851562,32.82652282714844,66.29804992675781,44.3664665222168,41.95000076293945,13.229999542236328,,
2005-01-11,79.94953918457031,32.59649658203125,65.87356567382812,44.62660598754883,42.209999084472656,13.1899995803833,,
2005-01-12,80.21334075927734,32.869144439697266,66.19194030761719,44.68666076660156,42.599998474121094,12.5600004196167,,
2005-01-13,79.57068634033203,32.434627532958984,65.51773834228516,45.11692428588867,42.599998474121094,12.84000015258789,,
2005-01-14,79.99011993408203,32.7413444519043,65.8236312866211,45.111915588378906,42.31999969482422,12.430000305175781,,
2005-01-18,80.82223510742188,32.98843002319336,66.27320098876953,45.26200485229492,42.31999969482422,12.470000267028809,,
2005-01-19,79.97661590576172,32.443153381347656,65.70506286621094,45.392086029052734,42.2599983215332,13.180000305175781,,
2005-01-20,79.48951721191406,31.821195602416992,65.399169921875,45.482147216796875,42.25,13.829999923706055,,
2005-01-21,79.00241088867188,31.565610885620117,64.88544464111328,45.532169342041016,42.7400016784668,14.359999656677246,,
2005-01-24,78.84686279296875,31.122591018676758,64.82926940917969,45.72727966308594,42.77000045776367,14.649999618530273,,
2005-01-25,79.0700912475586,31.275930404663086,65.3541488647461,45.29707717895508,42.2400016784668,14.0600004196167,,
2005-01-26,79.3068618774414,31.65081214904785,65.47911834716797,45.3820915222168,42.689998626708984,13.4399995803833,,
2005-01-27,79.44214630126953,31.608190536499023,65.34159851074219,45.29707717895508,42.619998931884766,13.239999771118164,,
2005-01-28,79.44214630126953,31.454877853393555,65.26038360595703,45.752315521240234,42.689998626708984,13.239999771118164,,
2005-01-31,79.9360122680664,31.863807678222656,65.48538970947266,45.882354736328125,42.220001220703125,12.819999694824219,,
