Date,calibrated_state_0_probability,calibrated_state_1_probability,calibrated_state_2_probability,calibrated_most_likely_state,calibrated_regime_confidence,spy_vol_20d,vix_level,realized_vol_regime_score,liquidity_stress_proxy,momentum_breadth,drawdown,volatility_scaler,drawdown_derisking_multiplier,equity_exposure,bond_hedge_exposure,gold_hedge_exposure,cash_buffer,hedge_intensity,hedging_regime_label
2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.15607831839901645,23.38999938964844,1.7607013155910236,1.4340391918923157,0.4,0.0,0.6407039813457535,1.0,0.2979636396324224,0.30000000000000004,0.13946035327484696,0.26257600709273077,0.7020363603675778,high_hedge_risk_off
2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.15517040542331803,23.38999938964844,1.709037700970375,1.3957407105880517,0.4,0.0,0.6444527854856827,1.0,0.29970704588292857,0.3,0.13946035327484693,0.26083260084222454,0.7002929541170715,high_hedge_risk_off
2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.17792962033234472,38.56999969482422,2.238236200721947,2.150767479178593,0.2,0.0,0.5620199706671415,1.0,0.26137111814780306,0.3,0.13946035327484693,0.29916852857735005,0.7386288818521969,high_hedge_risk_off
2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.1802336301211546,27.709999084472656,1.9267026113680608,1.4964341338611056,0.2,0.0,0.5548354096445771,1.0,0.2580298903518589,0.3,0.13946035327484693,0.3025097563732942,0.741970109648141,high_hedge_risk_off
2024-08-07,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.1799351392502835,27.850000381469727,1.8982586690813683,1.4596132595123783,0.2,0.0,0.5557558152157456,1.0,0.2584579310725475,0.3,0.13946035327484693,0.3020817156526056,0.7415420689274526,high_hedge_risk_off
2024-08-08,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.2018564988981165,23.790000915527344,1.9513482174108399,1.2062813718206984,0.4,0.0,0.49540143887303445,1.0,0.23038972771122881,0.30000000000000004,0.13946035327484696,0.3301499190139243,0.7696102722887713,high_hedge_risk_off
2024-08-09,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.2029299907238075,20.3700008392334,1.8318898450656969,1.0239677462370416,0.4,0.0,0.49278078436470424,1.0,0.2291709749357567,0.30000000000000004,0.13946035327484696,0.33136867178939644,0.7708290250642434,high_hedge_risk_off
2024-08-10,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.2029299907238075,20.3700008392334,1.7974036645059654,1.0147022700474957,0.4,0.0,0.49278078436470424,1.0,0.2291709749357567,0.30000000000000004,0.13946035327484696,0.33136867178939644,0.7708290250642434,high_hedge_risk_off
2024-08-11,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.1982862151854731,20.3700008392334,1.7445442997980154,1.0117616369218432,0.4,0.0,0.5043214925780994,1.0,0.23453805789968055,0.3,0.13946035327484693,0.32600158882547253,0.7654619421003195,high_hedge_risk_off
2024-08-12,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.19847401812054163,20.709999084472656,1.7310930984179205,1.0120374588842895,0.4,0.0,0.5038442862544648,1.0,0.23431612993109338,0.3,0.13946035327484693,0.3262235167940597,0.7656838700689066,high_hedge_risk_off
2024-08-13,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.19243499089003654,18.1200008392334,1.6098199693675013,0.8514099614774345,0.6,0.0,0.5196560123368789,1.0,0.24166947810678474,0.3,0.13946035327484693,0.3188701686183683,0.7583305218932153,high_hedge_risk_off
2024-08-14,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.19163675513445727,16.190000534057617,1.5318800354853208,0.7562366585683874,0.8,0.0,0.521820565839979,1.0,0.2426761180820947,0.30000000000000004,0.13946035327484696,0.31786352864305845,0.7573238819179055,high_hedge_risk_off
2024-08-15,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.1970922335803872,15.229999542236328,1.505165941911432,0.7068576599398065,0.8,0.0,0.5073766641302658,1.0,0.23595888571079054,0.3,0.13946035327484693,0.32458076101436256,0.7640411142892094,high_hedge_risk_off
2024-08-16,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.1971231511967761,14.800000190734863,1.4741891059682026,0.686834765882684,0.8,0.0,0.5072970850601717,1.0,0.23592187693598318,0.3,0.13946035327484693,0.3246177697891699,0.7640781230640168,high_hedge_risk_off
2024-08-17,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2531028718826328,0.1971231511967761,14.800000190734863,1.4516193255620535,0.6895144644652111,0.8,0.0,0.5072970850601717,1.0,0.23592187693598318,0.3,0.13946035327484693,0.3246177697891699,0.7640781230640168,high_hedge_risk_off
