calibrated_most_likely_state,collapse_label,observations,avg_abs_corr,max_abs_corr,avg_high_corr_edge_ratio,avg_collapse_score,avg_instability_cluster_score,avg_regime_confidence
0,normal_diversification,0,,,,,,
0,partial_breakdown,7,0.5064615657558835,0.9961234799814929,0.2704081632653061,0.38571428571428573,0.5599999999999999,0.19456572687198678
0,severe_collapse,7,0.5431894637234146,0.9953679826973028,0.29081632653061223,0.7857142857142857,0.6028571428571429,0.23072327945577406
1,normal_diversification,241,0.42218261614513436,0.9830836843521878,0.19635447540011855,0.0,0.03302904564315352,0.24371578244668618
1,partial_breakdown,27,0.4999720349436413,0.9963266155286874,0.29894179894179895,0.35185185185185186,0.2903703703703704,0.24401542823759323
1,severe_collapse,29,0.5524117169529618,0.9953946990859084,0.3866995073891626,0.7413793103448276,0.6289655172413793,0.22093943886024484
2,normal_diversification,53,0.4357984400402934,0.9782336172679985,0.2371967654986523,0.0,0.06264150943396227,0.22463850913464115
2,partial_breakdown,23,0.5040459591341078,0.9867509775037738,0.327639751552795,0.3391304347826087,0.2217391304347826,0.23179845146174377
2,severe_collapse,31,0.5634377971683322,0.9911836876090842,0.3813364055299539,0.7290322580645161,0.6129032258064516,0.2095752114122749
