observations,var_95,var_99,cvar_95_expected_shortfall,cvar_99_expected_shortfall,downside_semivariance,max_drawdown,mean_return,volatility,segment,source,avg_regime_confidence
653,-0.00768982463435828,-0.014759922926992164,-0.012341863829220966,-0.019423732483851958,4.062160019506639e-05,-0.09930547825401892,8.885145791882155e-05,0.004835492024867125,portfolio_gross,data\institutional\portfolio_backtest_results.csv,
653,-0.007944837456347319,-0.014826653620557635,-0.012429784835324708,-0.01950682448767863,2.0088373718983082e-05,-0.1255160864146464,-3.898929737214808e-05,0.004824645482049261,portfolio_net,data\institutional\portfolio_backtest_results.csv,
21,-0.0089133771134957,-0.0108863656605605,-0.0101464949554112,-0.0113796127973267,2.2061396705045757e-05,-0.021082713785166907,-0.00045517347334223917,0.005392424162646971,regime_state_0,net_portfolio_return,0.22613062607013124
442,-0.007704112786215795,-0.014855993539058462,-0.012396798916829722,-0.0199105800126715,2.0960372334527053e-05,-0.07653742635419958,5.194517727698747e-05,0.00479971289681605,regime_state_1,net_portfolio_return,0.243156629380144
190,-0.007625017302866769,-0.014631764866318725,-0.012040102307666759,-0.01849743567519645,1.8025267133631358e-05,-0.06688336506346015,-0.00020453229789607448,0.004837709306972926,regime_state_2,net_portfolio_return,0.2285906788095663
