Date,rolling_avg_abs_corr,rolling_max_abs_corr,rolling_corr_dispersion,high_corr_edge_ratio,avg_corr_spike_flag,max_corr_spike_flag,network_stress_flag,diversification_collapse_score,collapse_label,instability_cluster_score,calibrated_most_likely_state,calibrated_regime_confidence,calibrated_state_0_probability,calibrated_state_1_probability,calibrated_state_2_probability
2024-09-16,0.5082063289780699,0.9726645088257407,0.2594738090595042,0.2857142857142857,0,0,0,0.0,normal_diversification,0.0,1,0.1940666878787975,0.1422542217779603,0.6486591894936531,0.2090865887283867
2024-09-17,0.5063145652107552,0.9685130600443017,0.25971957884108365,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2484454364905665,0.1500847576719118,0.6954963505246902,0.154418891803398
2024-09-18,0.5007521064053029,0.966504193533963,0.26004373336528624,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2530425462629458,0.1505879702070409,0.6988240595859181,0.1505879702070409
2024-09-19,0.48818533607358844,0.9667275159100691,0.2688574493411331,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.253102581765097,0.1505664856038661,0.6988670287922677,0.1505664856038661
2024-09-20,0.5195817622016367,0.9720920222134395,0.2631921526873948,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531027370765901,0.1505664300270291,0.6988671399459419,0.1505664300270291
2024-09-23,0.5160327659272885,0.9709639744210791,0.24920249163465355,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.25310285542411,0.1505663876774341,0.6988672246451317,0.1505663876774341
2024-09-24,0.5064313495191349,0.9725072124475641,0.23659009881891643,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028628749803,0.1505663850112076,0.6988672299775848,0.1505663850112076
2024-09-25,0.5105589887980836,0.9760482680706483,0.23485478681549557,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718825523,0.1505663817879295,0.698867236424141,0.1505663817879295
2024-09-26,0.5369552166016359,0.9731760337931695,0.2267176726899825,0.25,1,0,0,0.4,partial_breakdown,0.08,1,0.2531028718826118,0.1505663817879082,0.6988672364241836,0.1505663817879082
2024-09-27,0.544187046276889,0.9726337756142254,0.23118309416697244,0.2857142857142857,1,0,0,0.4,partial_breakdown,0.16,1,0.2531028718826307,0.1505663817879014,0.698867236424197,0.1505663817879014
2024-09-30,0.535490442483326,0.9716570126829089,0.23960656791090698,0.2857142857142857,1,0,0,0.4,partial_breakdown,0.24000000000000005,1,0.2531028718826328,0.1505663817879007,0.6988672364241985,0.1505663817879007
2024-10-01,0.5338015323022464,0.9699099837082747,0.24227458525050027,0.2857142857142857,1,0,0,0.4,partial_breakdown,0.32,1,0.253102871862867,0.1505663817949737,0.6988672364100526,0.1505663817949737
2024-10-02,0.46532803284907737,0.9601304669311522,0.2677311013953104,0.17857142857142858,0,0,0,0.0,normal_diversification,0.32,1,0.2531028718531996,0.1505663817984331,0.6988672364031338,0.1505663817984331
2024-10-03,0.46302824202794873,0.9596201563831397,0.2692500368192409,0.17857142857142858,0,0,0,0.0,normal_diversification,0.24000000000000005,1,0.253102859732216,0.1505663861358173,0.6988672277283653,0.1505663861358173
2024-10-04,0.4787479691668822,0.9637075149379751,0.2752799449768149,0.17857142857142858,0,0,0,0.0,normal_diversification,0.16,1,0.2531028597500419,0.1505663861294386,0.6988672277411229,0.1505663861294386
2024-10-07,0.4165389886306087,0.9448108154012326,0.26565821098967857,0.17857142857142858,0,0,0,0.0,normal_diversification,0.08,1,0.253001963219474,0.150602495075684,0.6987950098486317,0.150602495075684
2024-10-08,0.41894882964743463,0.9500818500378704,0.2632971259663329,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2530019543685143,0.1506024982436281,0.6987950035127439,0.1506024982436281
2024-10-09,0.4110269446168874,0.9549093784748764,0.2679756006059274,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2530019540486153,0.1506024983581265,0.6987950032837468,0.1506024983581265
2024-10-10,0.41028653628884026,0.9626633446190195,0.2693442003096115,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028625136543,0.1505663851405048,0.6988672297189903,0.1505663851405048
2024-10-11,0.3943766100076354,0.9615327072857174,0.2758602747111405,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.253102871360309,0.1505663819748095,0.698867236050381,0.1505663819748095
2024-10-14,0.3952552780299183,0.9490762555318185,0.2647089020672319,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.253102871874092,0.150566381790957,0.698867236418086,0.150566381790957
2024-10-15,0.38815789670613643,0.9604436024469948,0.29485903211486303,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718678191,0.1505663817932016,0.6988672364135966,0.1505663817932016
2024-10-16,0.39655952497471486,0.9639525184042023,0.2874233072970718,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718710318,0.150566381792052,0.6988672364158959,0.150566381792052
2024-10-17,0.40372136202090225,0.9542841671134675,0.28283551218485975,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718712008,0.1505663817919915,0.6988672364160169,0.1505663817919915
2024-10-18,0.3800384141883833,0.9352709165818158,0.2704485239026587,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718814995,0.1505663817883062,0.6988672364233874,0.1505663817883062
2024-10-21,0.38576845122631387,0.9345567487112464,0.27452737633800567,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718826075,0.1505663817879098,0.6988672364241805,0.1505663817879098
2024-10-22,0.3887526572459178,0.925264882989943,0.2738278434439315,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718826195,0.1505663817879055,0.698867236424189,0.1505663817879055
2024-10-23,0.38801480948288997,0.9234588927101963,0.2717943935274889,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718825912,0.1505663817879156,0.6988672364241687,0.1505663817879156
2024-10-24,0.39047856381112106,0.9413577804922051,0.2900968002093341,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718824266,0.1505663817879746,0.6988672364240508,0.1505663817879746
2024-10-25,0.38215685218621415,0.9317454451974876,0.2823500201009886,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718806745,0.1505663817886015,0.6988672364227969,0.1505663817886015
2024-10-28,0.3935674224366267,0.9178145689375047,0.2854854291271662,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718804109,0.1505663817886958,0.6988672364226084,0.1505663817886958
2024-10-29,0.3967470791819908,0.9141749575583171,0.2968783491401234,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718822089,0.1505663817880524,0.6988672364238951,0.1505663817880524
2024-10-30,0.4028936043310832,0.8861539855624685,0.25665488473605047,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.25310287150951,0.1505663819214193,0.6988672361571613,0.1505663819214193
2024-10-31,0.40342123252939616,0.8831323360561759,0.25783499025876205,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.16086842140667,0.1402128566458133,0.611774267058283,0.2480128762959038
2024-11-01,0.47678631922100845,0.9247531691772762,0.252918223865436,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.1394308036069061,0.1340582654487574,0.5769787643973756,0.288962970153867
2024-11-04,0.46752837802278496,0.9203623142628451,0.24645490329154685,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2437784396087206,0.1494980806373923,0.6920369565005932,0.1584649628620145
2024-11-05,0.4742782468848327,0.9154072241417148,0.24397299408960027,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2528466319044654,0.1506581009799525,0.6986837980400951,0.1506581009799525
2024-11-06,0.49661958334635653,0.9122632961654024,0.24952617828538312,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2530698585122997,0.1505781957554317,0.6988436084891365,0.1505781957554317
2024-11-07,0.5948458793015506,0.9427461719576803,0.28085161161536065,0.5,1,0,1,0.7,severe_collapse,0.13999999999999999,1,0.2531028398992676,0.1505663932328586,0.6988672135342827,0.1505663932328586
2024-11-08,0.563808027488028,0.944590409000533,0.29806708962258643,0.4642857142857143,1,0,1,0.7,severe_collapse,0.27999999999999997,1,0.2531028126056062,0.1505664029996491,0.6988671940007017,0.1505664029996491
2024-11-11,0.5639349566511975,0.9461363948925748,0.295580793132503,0.4642857142857143,1,0,1,0.7,severe_collapse,0.41999999999999993,1,0.2531027726072923,0.1505664173126859,0.6988671653746281,0.1505664173126859
2024-11-12,0.5485601019319081,0.9491292155904403,0.272877557669549,0.35714285714285715,1,0,1,0.7,severe_collapse,0.5599999999999999,1,0.2531028055547086,0.1505664055227492,0.6988671889545014,0.1505664055227492
2024-11-13,0.5278841914092945,0.938526920090356,0.28987098375902964,0.39285714285714285,1,0,1,0.7,severe_collapse,0.7,1,0.2531028135542222,0.1505664026601954,0.6988671946796092,0.1505664026601954
2024-11-14,0.5301898321134307,0.9372046146403632,0.2857610939530337,0.39285714285714285,1,0,1,0.7,severe_collapse,0.7,1,0.2531027682114729,0.1505664188856904,0.6988671622286192,0.1505664188856904
2024-11-15,0.5442338743263504,0.9393267521233648,0.2797762606825372,0.39285714285714285,1,0,1,0.7,severe_collapse,0.7,1,0.2531024792958281,0.1505665222715934,0.6988669554568131,0.1505665222715934
2024-11-18,0.5164129788212216,0.9402897020302885,0.2719693630253923,0.2857142857142857,0,0,0,0.0,normal_diversification,0.5599999999999999,1,0.2530860994715801,0.1505723837547635,0.698855232490473,0.1505723837547635
2024-11-19,0.5202594785884062,0.9434869289828705,0.2719683848465838,0.2857142857142857,0,0,0,0.0,normal_diversification,0.41999999999999993,1,0.2530862815938399,0.1505723185815542,0.6988553628368916,0.1505723185815542
