date,train_end,test_start,mars,static_cvar,equal_weight,mean_variance,stress_probability,turnover
2018-01-02,2017-12-29,2018-01-02,0.002231299257032488,0.002231299257032486,0.002122149323424999,0.00883583784330177,0.07142857142857142,5.551115123125783e-17
2018-01-03,2017-12-29,2018-01-02,0.002881637640259571,0.0028816376402595713,0.0021173054421203263,0.0013781422138974997,0.07142857142857142,5.551115123125783e-17
2018-01-04,2017-12-29,2018-01-02,0.002461171346945929,0.0024611713469459284,0.0022960009929063607,0.004232891590530042,0.07142857142857142,5.551115123125783e-17
2018-01-05,2017-12-29,2018-01-02,0.0014112624628753786,0.0014112624628753782,0.0006930730292027953,0.002290593276002016,0.07142857142857142,5.551115123125783e-17
2018-01-08,2017-12-29,2018-01-02,0.00044903496377099445,0.0004490349637709944,0.00025819355198114513,0.0006885998851487847,0.07142857142857142,5.551115123125783e-17
2018-01-09,2017-12-29,2018-01-02,-0.003476647170089992,-0.0034766471700899927,-0.003934413266792475,-0.0012807402290891574,0.07142857142857142,5.551115123125783e-17
2018-01-10,2017-12-29,2018-01-02,-0.0003569749717891755,-0.0003569749717891758,-8.372546292903515e-05,0.000517455541422334,0.07142857142857142,5.551115123125783e-17
2018-01-11,2017-12-29,2018-01-02,0.00423924712260072,0.00423924712260072,0.003673595908664118,0.004632752877489168,0.07142857142857142,5.551115123125783e-17
2018-01-12,2017-12-29,2018-01-02,0.005127511405563912,0.005127511405563912,0.00508148423529825,0.00856215246883862,0.07142857142857142,5.551115123125783e-17
2018-01-16,2017-12-29,2018-01-02,0.00017846290572651207,0.0001784629057265124,0.0006029881584430907,-0.0006345603218404338,0.07142857142857142,5.551115123125783e-17
2018-01-17,2017-12-29,2018-01-02,0.0013764285094002508,0.0013764285094002512,1.826185985295825e-05,9.088335852394441e-05,0.07142857142857142,5.551115123125783e-17
2018-01-18,2017-12-29,2018-01-02,-0.0033548270150270676,-0.0033548270150270685,-0.003297709426277523,-0.0017722776961635281,0.07142857142857142,5.551115123125783e-17
2018-01-19,2017-12-29,2018-01-02,0.0011686909720726004,0.0011686909720725995,0.0009362019967044943,0.004046376981701485,0.07142857142857142,5.551115123125783e-17
2018-01-22,2017-12-29,2018-01-02,0.0034535643043785537,0.0034535643043785533,0.0027314198247252452,0.004279471825857469,0.07142857142857142,5.551115123125783e-17
2018-01-23,2017-12-29,2018-01-02,0.002813253044477493,0.0028132530444774932,0.0028497500559633293,0.003283009646249221,0.07142857142857142,5.551115123125783e-17
2018-01-24,2017-12-29,2018-01-02,0.0009457673740283677,0.0009457673740283661,0.0015934913401392248,0.005700014656235081,0.07142857142857142,5.551115123125783e-17
2018-01-25,2017-12-29,2018-01-02,0.0008655151351368733,0.0008655151351368746,0.0004893285229725097,-0.0030360921054600897,0.07142857142857142,5.551115123125783e-17
2018-01-26,2017-12-29,2018-01-02,0.0032814266156925617,0.0032814266156925612,0.0021627406054350873,0.005222492319074921,0.07142857142857142,5.551115123125783e-17
2018-01-29,2017-12-29,2018-01-02,-0.0051845002780816,-0.0051845002780816,-0.004802619969594912,-0.005481653454583983,0.07142857142857142,5.551115123125783e-17
2018-01-30,2017-12-29,2018-01-02,-0.005920402280630921,-0.005920402280630921,-0.005110609779060943,-0.006372713348014714,0.07142857142857142,5.551115123125783e-17
2018-01-31,2017-12-29,2018-01-02,0.0029898734176100677,0.0029898734176100677,0.003275349746421019,0.0034351296804510066,0.07142857142857142,5.551115123125783e-17
2018-02-01,2017-12-29,2018-01-02,-0.00336244060566847,-0.0033624406056684724,-0.003084419269226868,0.0011088468809267401,0.07142857142857142,5.551115123125783e-17
2018-02-02,2017-12-29,2018-01-02,-0.01256289903946684,-0.01256289903946684,-0.011041780158581177,-0.015427851414896988,0.07142857142857142,5.551115123125783e-17
2018-02-05,2017-12-29,2018-01-02,-0.011768998011333657,-0.011768998011333656,-0.0074601392056548865,-0.016287743723629608,0.07142857142857142,5.551115123125783e-17
2018-02-06,2017-12-29,2018-01-02,0.003243198025709198,0.0032431980257091974,0.000748138896946221,0.0031941687952975724,0.07142857142857142,5.551115123125783e-17
2018-02-07,2017-12-29,2018-01-02,-0.005215607602947125,-0.005215607602947126,-0.004908411873816576,-0.004536118137035019,0.07142857142857142,5.551115123125783e-17
2018-02-08,2017-12-29,2018-01-02,-0.013097069663527427,-0.013097069663527427,-0.009270058660265479,-0.01496787626286197,0.07142857142857142,5.551115123125783e-17
2018-02-09,2017-12-29,2018-01-02,0.0033416334055783314,0.0033416334055783306,0.0017554729742631225,0.005478920083188391,0.07142857142857142,5.551115123125783e-17
2018-02-12,2017-12-29,2018-01-02,0.007203504655952431,0.007203504655952431,0.005975518034830984,0.008461769445853024,0.07142857142857142,5.551115123125783e-17
2018-02-13,2017-12-29,2018-01-02,0.0031219326005930362,0.0031219326005930362,0.003156320493366782,0.0037676730980665887,0.07142857142857142,5.551115123125783e-17
2018-02-14,2017-12-29,2018-01-02,0.005360870155133119,0.005360870155133117,0.004863885888178182,0.013858649899954105,0.07142857142857142,5.551115123125783e-17
2018-02-15,2017-12-29,2018-01-02,0.0055497420504196475,0.0055497420504196475,0.004332228832827967,0.005904418721100012,0.07142857142857142,5.551115123125783e-17
2018-02-16,2017-12-29,2018-01-02,0.0008033707610909046,0.0008033707610909053,0.0006104946524537191,-0.0014523344953280397,0.07142857142857142,5.551115123125783e-17
2018-02-20,2017-12-29,2018-01-02,-0.0059747883372837825,-0.0059747883372837825,-0.006020753472504886,-0.009091843094765744,0.07142857142857142,5.551115123125783e-17
2018-02-21,2017-12-29,2018-01-02,-0.005727019712071963,-0.005727019712071964,-0.005459301433716451,-0.004294001846249582,0.07142857142857142,5.551115123125783e-17
2018-02-22,2017-12-29,2018-01-02,0.0022217537234503594,0.0022217537234503594,0.0023467897043712993,0.002994439699184649,0.07142857142857142,5.551115123125783e-17
2018-02-23,2017-12-29,2018-01-02,0.007546050864536702,0.007546050864536703,0.005888752521535728,0.00606228160361499,0.07142857142857142,5.551115123125783e-17
2018-02-26,2017-12-29,2018-01-02,0.004640384180362899,0.004640384180362899,0.003602059156558979,0.006043788882834286,0.07142857142857142,5.551115123125783e-17
2018-02-27,2017-12-29,2018-01-02,-0.006817743857965614,-0.006817743857965613,-0.006091035020564961,-0.010252137678576644,0.07142857142857142,5.551115123125783e-17
2018-02-28,2017-12-29,2018-01-02,-0.0021643569169550957,-0.0021643569169550944,-0.0012032959634942497,-0.004740486769702853,0.07142857142857142,5.551115123125783e-17
2018-03-01,2017-12-29,2018-01-02,-0.00383057374241299,-0.003830573742412989,-0.002488522148487604,-0.007164879698063038,0.07142857142857142,5.551115123125783e-17
2018-03-02,2017-12-29,2018-01-02,0.000846195719121301,0.0008461957191212999,0.0005993196804836565,0.004743878293607442,0.07142857142857142,5.551115123125783e-17
2018-03-05,2017-12-29,2018-01-02,0.003034497313748507,0.003034497313748507,0.0017949412204445736,0.004031902125047545,0.07142857142857142,5.551115123125783e-17
2018-03-06,2017-12-29,2018-01-02,0.0032770853239692203,0.0032770853239692203,0.0035628341001085473,0.006252754324085494,0.07142857142857142,5.551115123125783e-17
2018-03-07,2017-12-29,2018-01-02,-0.0016837690979320421,-0.0016837690979320421,-0.001967212155597614,-0.0032351632436620047,0.07142857142857142,5.551115123125783e-17
2018-03-08,2017-12-29,2018-01-02,0.0026570389827007654,0.0026570389827007667,0.002053805640332834,0.000876867236225271,0.07142857142857142,5.551115123125783e-17
2018-03-09,2017-12-29,2018-01-02,0.004639243188995084,0.004639243188995083,0.002946847810767178,0.007745087289361011,0.07142857142857142,5.551115123125783e-17
2018-03-12,2017-12-29,2018-01-02,0.0010023958326978943,0.0010023958326978951,0.001127927865839401,-0.0005254659128321205,0.07142857142857142,5.551115123125783e-17
2018-03-13,2017-12-29,2018-01-02,-0.0006146027855216172,-0.0006146027855216166,0.00012721567969029013,-0.0017847495916726696,0.07142857142857142,5.551115123125783e-17
2018-03-14,2017-12-29,2018-01-02,0.0002790756031928689,0.00027907560319286983,0.0007604697563289853,-0.002454392676710247,0.07142857142857142,5.551115123125783e-17
